ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.7% to 40.9%,1/28/2022 12:00:00 AM,$0.06,$0.08,$0.05,$0.06,3492
41.6% to 41.8%,1/28/2022 12:00:00 AM,$0.20,$0.23,$0.18,$0.20,3289
40.6% or lower,1/28/2022 12:00:00 AM,$0.06,$0.07,$0.04,$0.05,4866
41.0% to 41.2%,1/28/2022 12:00:00 AM,$0.10,$0.13,$0.10,$0.12,3229
41.3% to 41.5%,1/28/2022 12:00:00 AM,$0.20,$0.22,$0.16,$0.16,2993
41.9% to 42.1%,1/28/2022 12:00:00 AM,$0.19,$0.24,$0.17,$0.20,3418
42.2% to 42.4%,1/28/2022 12:00:00 AM,$0.18,$0.22,$0.14,$0.19,4565
42.5% to 42.7%,1/28/2022 12:00:00 AM,$0.08,$0.12,$0.06,$0.10,5233
42.8% or higher,1/28/2022 12:00:00 AM,$0.06,$0.07,$0.04,$0.05,5792
40.7% to 40.9%,1/29/2022 12:00:00 AM,$0.06,$0.08,$0.05,$0.06,1583
41.6% to 41.8%,1/29/2022 12:00:00 AM,$0.20,$0.25,$0.18,$0.22,2217
40.6% or lower,1/29/2022 12:00:00 AM,$0.05,$0.08,$0.04,$0.04,2626
41.0% to 41.2%,1/29/2022 12:00:00 AM,$0.12,$0.12,$0.10,$0.12,1405
41.3% to 41.5%,1/29/2022 12:00:00 AM,$0.16,$0.21,$0.15,$0.15,4002
41.9% to 42.1%,1/29/2022 12:00:00 AM,$0.20,$0.23,$0.19,$0.20,2004
42.2% to 42.4%,1/29/2022 12:00:00 AM,$0.19,$0.20,$0.14,$0.17,1354
42.5% to 42.7%,1/29/2022 12:00:00 AM,$0.10,$0.11,$0.08,$0.09,1877
42.8% or higher,1/29/2022 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,1466
40.7% to 40.9%,1/30/2022 12:00:00 AM,$0.06,$0.08,$0.05,$0.05,1834
41.6% to 41.8%,1/30/2022 12:00:00 AM,$0.22,$0.24,$0.20,$0.20,1050
40.6% or lower,1/30/2022 12:00:00 AM,$0.04,$0.06,$0.03,$0.04,3634
41.0% to 41.2%,1/30/2022 12:00:00 AM,$0.12,$0.12,$0.09,$0.09,1198
41.3% to 41.5%,1/30/2022 12:00:00 AM,$0.15,$0.18,$0.14,$0.15,1191
41.9% to 42.1%,1/30/2022 12:00:00 AM,$0.20,$0.21,$0.19,$0.20,1158
42.2% to 42.4%,1/30/2022 12:00:00 AM,$0.17,$0.18,$0.15,$0.18,1296
42.5% to 42.7%,1/30/2022 12:00:00 AM,$0.09,$0.11,$0.08,$0.08,1236
42.8% or higher,1/30/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,2170
40.7% to 40.9%,1/31/2022 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,2587
41.6% to 41.8%,1/31/2022 12:00:00 AM,$0.20,$0.26,$0.20,$0.25,2418
40.6% or lower,1/31/2022 12:00:00 AM,$0.04,$0.05,$0.02,$0.03,4400
41.0% to 41.2%,1/31/2022 12:00:00 AM,$0.09,$0.13,$0.08,$0.10,2579
41.3% to 41.5%,1/31/2022 12:00:00 AM,$0.15,$0.22,$0.13,$0.21,2158
41.9% to 42.1%,1/31/2022 12:00:00 AM,$0.20,$0.25,$0.19,$0.23,1586
42.2% to 42.4%,1/31/2022 12:00:00 AM,$0.18,$0.18,$0.13,$0.14,1229
42.5% to 42.7%,1/31/2022 12:00:00 AM,$0.08,$0.11,$0.06,$0.07,1343
42.8% or higher,1/31/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,3668
