ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
39.5% to 39.7%,6/10/2022 12:00:00 AM,$0.14,$0.21,$0.14,$0.20,1142
40.4% to 40.6%,6/10/2022 12:00:00 AM,$0.21,$0.21,$0.13,$0.13,2380
39.1% or lower,6/10/2022 12:00:00 AM,$0.05,$0.15,$0.04,$0.04,3859
39.8% to 40.0%,6/10/2022 12:00:00 AM,$0.25,$0.44,$0.25,$0.27,3478
40.1% to 40.3%,6/10/2022 12:00:00 AM,$0.22,$0.27,$0.22,$0.24,1184
40.7% to 40.9%,6/10/2022 12:00:00 AM,$0.08,$0.10,$0.03,$0.04,3502
41.0% to 41.2%,6/10/2022 12:00:00 AM,$0.03,$0.05,$0.01,$0.02,4565
39.2% to 39.4%,6/10/2022 12:00:00 AM,$0.03,$0.12,$0.03,$0.07,3663
41.3% or higher,6/10/2022 12:00:00 AM,$0.03,$0.04,$0.01,$0.02,5411
39.5% to 39.7%,6/11/2022 12:00:00 AM,$0.20,$0.21,$0.16,$0.16,445
40.4% to 40.6%,6/11/2022 12:00:00 AM,$0.13,$0.16,$0.13,$0.15,871
39.1% or lower,6/11/2022 12:00:00 AM,$0.04,$0.07,$0.03,$0.07,1397
39.8% to 40.0%,6/11/2022 12:00:00 AM,$0.27,$0.34,$0.27,$0.28,225
40.1% to 40.3%,6/11/2022 12:00:00 AM,$0.24,$0.27,$0.24,$0.27,434
40.7% to 40.9%,6/11/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,702
41.0% to 41.2%,6/11/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,1348
39.2% to 39.4%,6/11/2022 12:00:00 AM,$0.07,$0.12,$0.07,$0.12,1201
41.3% or higher,6/11/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2298
39.5% to 39.7%,6/12/2022 12:00:00 AM,$0.16,$0.22,$0.16,$0.20,694
40.4% to 40.6%,6/12/2022 12:00:00 AM,$0.15,$0.15,$0.13,$0.13,806
39.1% or lower,6/12/2022 12:00:00 AM,$0.07,$0.07,$0.04,$0.06,1318
39.8% to 40.0%,6/12/2022 12:00:00 AM,$0.28,$0.36,$0.28,$0.31,2216
40.1% to 40.3%,6/12/2022 12:00:00 AM,$0.27,$0.28,$0.24,$0.26,497
40.7% to 40.9%,6/12/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,1804
41.0% to 41.2%,6/12/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,4376
39.2% to 39.4%,6/12/2022 12:00:00 AM,$0.12,$0.12,$0.07,$0.11,965
41.3% or higher,6/12/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1573
39.5% to 39.7%,6/13/2022 12:00:00 AM,$0.20,$0.40,$0.18,$0.37,3129
40.4% to 40.6%,6/13/2022 12:00:00 AM,$0.13,$0.15,$0.01,$0.01,12031
39.1% or lower,6/13/2022 12:00:00 AM,$0.06,$0.20,$0.04,$0.12,9148
39.8% to 40.0%,6/13/2022 12:00:00 AM,$0.31,$0.38,$0.25,$0.29,4769
40.1% to 40.3%,6/13/2022 12:00:00 AM,$0.26,$0.32,$0.06,$0.06,7182
40.7% to 40.9%,6/13/2022 12:00:00 AM,$0.04,$0.06,$0.01,$0.01,12696
41.0% to 41.2%,6/13/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3208
39.2% to 39.4%,6/13/2022 12:00:00 AM,$0.11,$0.29,$0.10,$0.24,5728
41.3% or higher,6/13/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1101
39.5% to 39.7%,6/14/2022 12:00:00 AM,$0.37,$0.57,$0.31,$0.55,2646
40.4% to 40.6%,6/14/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3072
39.1% or lower,6/14/2022 12:00:00 AM,$0.12,$0.22,$0.05,$0.06,5807
39.8% to 40.0%,6/14/2022 12:00:00 AM,$0.29,$0.33,$0.10,$0.15,3326
