ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.7% to 40.9%,4/8/2022 12:00:00 AM,$0.05,$0.05,$0.02,$0.04,5674
41.6% to 41.8%,4/8/2022 12:00:00 AM,$0.23,$0.23,$0.21,$0.22,2365
40.6% or lower,4/8/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.02,8093
41.0% to 41.2%,4/8/2022 12:00:00 AM,$0.11,$0.13,$0.10,$0.10,1695
41.3% to 41.5%,4/8/2022 12:00:00 AM,$0.22,$0.24,$0.20,$0.22,2026
41.9% to 42.1%,4/8/2022 12:00:00 AM,$0.22,$0.24,$0.21,$0.22,1728
42.2% to 42.4%,4/8/2022 12:00:00 AM,$0.15,$0.18,$0.13,$0.15,2406
42.5% to 42.7%,4/8/2022 12:00:00 AM,$0.08,$0.13,$0.06,$0.07,4373
42.8% or higher,4/8/2022 12:00:00 AM,$0.06,$0.09,$0.03,$0.04,6141
40.7% to 40.9%,4/9/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,2473
41.6% to 41.8%,4/9/2022 12:00:00 AM,$0.22,$0.22,$0.19,$0.21,1167
40.6% or lower,4/9/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,2206
41.0% to 41.2%,4/9/2022 12:00:00 AM,$0.10,$0.12,$0.09,$0.10,1190
41.3% to 41.5%,4/9/2022 12:00:00 AM,$0.22,$0.23,$0.21,$0.22,1497
41.9% to 42.1%,4/9/2022 12:00:00 AM,$0.22,$0.22,$0.20,$0.20,1512
42.2% to 42.4%,4/9/2022 12:00:00 AM,$0.15,$0.18,$0.15,$0.18,1083
42.5% to 42.7%,4/9/2022 12:00:00 AM,$0.07,$0.09,$0.06,$0.08,2665
42.8% or higher,4/9/2022 12:00:00 AM,$0.04,$0.07,$0.03,$0.05,2764
40.7% to 40.9%,4/10/2022 12:00:00 AM,$0.04,$0.04,$0.02,$0.04,2766
41.6% to 41.8%,4/10/2022 12:00:00 AM,$0.21,$0.24,$0.18,$0.24,2064
40.6% or lower,4/10/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,3320
41.0% to 41.2%,4/10/2022 12:00:00 AM,$0.10,$0.11,$0.07,$0.08,2960
41.3% to 41.5%,4/10/2022 12:00:00 AM,$0.22,$0.24,$0.22,$0.22,2368
41.9% to 42.1%,4/10/2022 12:00:00 AM,$0.20,$0.25,$0.20,$0.25,2372
42.2% to 42.4%,4/10/2022 12:00:00 AM,$0.18,$0.21,$0.15,$0.17,1576
42.5% to 42.7%,4/10/2022 12:00:00 AM,$0.08,$0.09,$0.06,$0.06,1424
42.8% or higher,4/10/2022 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,3446
40.7% to 40.9%,4/11/2022 12:00:00 AM,$0.04,$0.06,$0.01,$0.01,10503
41.6% to 41.8%,4/11/2022 12:00:00 AM,$0.24,$0.26,$0.08,$0.13,5298
40.6% or lower,4/11/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,4891
41.0% to 41.2%,4/11/2022 12:00:00 AM,$0.08,$0.12,$0.01,$0.01,13841
41.3% to 41.5%,4/11/2022 12:00:00 AM,$0.22,$0.23,$0.01,$0.07,10414
41.9% to 42.1%,4/11/2022 12:00:00 AM,$0.25,$0.29,$0.16,$0.29,5273
42.2% to 42.4%,4/11/2022 12:00:00 AM,$0.17,$0.32,$0.15,$0.28,3188
42.5% to 42.7%,4/11/2022 12:00:00 AM,$0.06,$0.29,$0.06,$0.18,5473
42.8% or higher,4/11/2022 12:00:00 AM,$0.05,$0.30,$0.03,$0.16,10448
40.7% to 40.9%,4/12/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,30
41.6% to 41.8%,4/12/2022 12:00:00 AM,$0.13,$0.24,$0.07,$0.24,13017
40.6% or lower,4/12/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,29
41.0% to 41.2%,4/12/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3762
41.3% to 41.5%,4/12/2022 12:00:00 AM,$0.07,$0.09,$0.01,$0.04,15515
41.9% to 42.1%,4/12/2022 12:00:00 AM,$0.29,$0.58,$0.24,$0.44,4952
42.2% to 42.4%,4/12/2022 12:00:00 AM,$0.28,$0.51,$0.25,$0.40,14893
42.5% to 42.7%,4/12/2022 12:00:00 AM,$0.18,$0.22,$0.05,$0.08,9745
42.8% or higher,4/12/2022 12:00:00 AM,$0.16,$0.16,$0.01,$0.01,22033
40.7% to 40.9%,4/13/2022 12:00:00 AM,$0.01,$0.05,$0.01,$0.01,16337
41.6% to 41.8%,4/13/2022 12:00:00 AM,$0.24,$0.99,$0.10,$0.99,63482
40.6% or lower,4/13/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5676
41.0% to 41.2%,4/13/2022 12:00:00 AM,$0.01,$0.30,$0.01,$0.01,27924
41.3% to 41.5%,4/13/2022 12:00:00 AM,$0.04,$0.70,$0.01,$0.01,44511
41.9% to 42.1%,4/13/2022 12:00:00 AM,$0.44,$0.69,$0.01,$0.01,39533
42.2% to 42.4%,4/13/2022 12:00:00 AM,$0.40,$0.49,$0.01,$0.01,29447
42.5% to 42.7%,4/13/2022 12:00:00 AM,$0.08,$0.13,$0.01,$0.01,18767
42.8% or higher,4/13/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8628
40.7% to 40.9%,4/14/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
