ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.3% to 41.5%,1/29/2022 12:00:00 AM,$0.20,$0.20,$0.13,$0.14,647
39.8% to 40.0%,1/29/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.06,973
39.7% or lower,1/29/2022 12:00:00 AM,$0.07,$0.07,$0.04,$0.04,1510
41.6% to 41.8%,1/29/2022 12:00:00 AM,$0.16,$0.16,$0.08,$0.09,451
40.1% to 40.3%,1/29/2022 12:00:00 AM,$0.13,$0.13,$0.10,$0.10,875
40.7% to 40.9%,1/29/2022 12:00:00 AM,$0.17,$0.26,$0.17,$0.21,2179
41.9% or higher,1/29/2022 12:00:00 AM,$0.08,$0.10,$0.06,$0.06,665
40.4% to 40.6%,1/29/2022 12:00:00 AM,$0.15,$0.17,$0.12,$0.14,827
41.0% to 41.2%,1/29/2022 12:00:00 AM,$0.20,$0.25,$0.16,$0.23,1486
41.3% to 41.5%,1/30/2022 12:00:00 AM,$0.14,$0.20,$0.13,$0.17,1534
39.8% to 40.0%,1/30/2022 12:00:00 AM,$0.06,$0.07,$0.04,$0.05,3060
39.7% or lower,1/30/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,4380
41.6% to 41.8%,1/30/2022 12:00:00 AM,$0.09,$0.24,$0.09,$0.21,2682
40.1% to 40.3%,1/30/2022 12:00:00 AM,$0.10,$0.11,$0.06,$0.07,2765
40.7% to 40.9%,1/30/2022 12:00:00 AM,$0.21,$0.22,$0.11,$0.12,3346
41.9% or higher,1/30/2022 12:00:00 AM,$0.06,$0.35,$0.06,$0.19,3673
40.4% to 40.6%,1/30/2022 12:00:00 AM,$0.14,$0.15,$0.08,$0.08,1954
41.0% to 41.2%,1/30/2022 12:00:00 AM,$0.23,$0.24,$0.13,$0.15,1084
41.3% to 41.5%,1/31/2022 12:00:00 AM,$0.17,$0.17,$0.15,$0.17,851
39.8% to 40.0%,1/31/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1505
39.7% or lower,1/31/2022 12:00:00 AM,$0.03,$0.06,$0.03,$0.04,1258
41.6% to 41.8%,1/31/2022 12:00:00 AM,$0.21,$0.22,$0.19,$0.20,571
40.1% to 40.3%,1/31/2022 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,1125
40.7% to 40.9%,1/31/2022 12:00:00 AM,$0.12,$0.14,$0.11,$0.11,1044
41.9% or higher,1/31/2022 12:00:00 AM,$0.19,$0.22,$0.16,$0.18,1412
40.4% to 40.6%,1/31/2022 12:00:00 AM,$0.08,$0.11,$0.08,$0.08,1247
41.0% to 41.2%,1/31/2022 12:00:00 AM,$0.15,$0.16,$0.14,$0.15,538
41.3% to 41.5%,2/1/2022 12:00:00 AM,$0.17,$0.23,$0.15,$0.15,1253
39.8% to 40.0%,2/1/2022 12:00:00 AM,$0.05,$0.08,$0.04,$0.08,1463
39.7% or lower,2/1/2022 12:00:00 AM,$0.04,$0.06,$0.03,$0.03,1812
41.6% to 41.8%,2/1/2022 12:00:00 AM,$0.20,$0.20,$0.09,$0.11,1944
40.1% to 40.3%,2/1/2022 12:00:00 AM,$0.06,$0.12,$0.06,$0.11,1004
40.7% to 40.9%,2/1/2022 12:00:00 AM,$0.11,$0.14,$0.10,$0.13,1801
41.9% or higher,2/1/2022 12:00:00 AM,$0.18,$0.20,$0.07,$0.08,1310
40.4% to 40.6%,2/1/2022 12:00:00 AM,$0.08,$0.13,$0.08,$0.12,1066
41.0% to 41.2%,2/1/2022 12:00:00 AM,$0.15,$0.23,$0.13,$0.20,1106
41.3% to 41.5%,2/2/2022 12:00:00 AM,$0.15,$0.47,$0.15,$0.38,7418
39.8% to 40.0%,2/2/2022 12:00:00 AM,$0.08,$0.08,$0.01,$0.01,2683
39.7% or lower,2/2/2022 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,1088
41.6% to 41.8%,2/2/2022 12:00:00 AM,$0.11,$0.30,$0.10,$0.28,5344
40.1% to 40.3%,2/2/2022 12:00:00 AM,$0.11,$0.11,$0.01,$0.02,5352
40.7% to 40.9%,2/2/2022 12:00:00 AM,$0.13,$0.16,$0.05,$0.06,4943
41.9% or higher,2/2/2022 12:00:00 AM,$0.08,$0.28,$0.06,$0.09,4518
40.4% to 40.6%,2/2/2022 12:00:00 AM,$0.12,$0.12,$0.02,$0.06,4870
41.0% to 41.2%,2/2/2022 12:00:00 AM,$0.20,$0.37,$0.11,$0.22,4883
41.3% to 41.5%,2/3/2022 12:00:00 AM,$0.38,$0.45,$0.08,$0.15,20536
39.8% to 40.0%,2/3/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9888
39.7% or lower,2/3/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,423
41.6% to 41.8%,2/3/2022 12:00:00 AM,$0.28,$0.63,$0.03,$0.08,31118
40.1% to 40.3%,2/3/2022 12:00:00 AM,$0.02,$0.06,$0.01,$0.01,12512
40.7% to 40.9%,2/3/2022 12:00:00 AM,$0.06,$0.39,$0.01,$0.28,21080
41.9% or higher,2/3/2022 12:00:00 AM,$0.09,$0.44,$0.01,$0.01,29833
40.4% to 40.6%,2/3/2022 12:00:00 AM,$0.06,$0.14,$0.01,$0.08,17023
41.0% to 41.2%,2/3/2022 12:00:00 AM,$0.22,$0.59,$0.05,$0.49,16437
41.3% to 41.5%,2/4/2022 12:00:00 AM,$0.15,$0.99,$0.03,$0.99,22875
39.8% to 40.0%,2/4/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,91
