ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.4% to 41.6%,2/25/2022 12:00:00 AM,$0.12,$0.31,$0.11,$0.17,16906
42.3% to 42.5%,2/25/2022 12:00:00 AM,$0.20,$0.22,$0.01,$0.02,17522
41.3% or lower,2/25/2022 12:00:00 AM,$0.09,$0.79,$0.08,$0.73,34149
41.7% to 41.9%,2/25/2022 12:00:00 AM,$0.20,$0.29,$0.02,$0.08,16902
42.0% to 42.2%,2/25/2022 12:00:00 AM,$0.22,$0.25,$0.01,$0.03,17938
42.6% to 42.8%,2/25/2022 12:00:00 AM,$0.12,$0.12,$0.01,$0.01,19076
42.9% to 43.1%,2/25/2022 12:00:00 AM,$0.07,$0.08,$0.01,$0.01,14644
43.2% to 43.4%,2/25/2022 12:00:00 AM,$0.05,$0.06,$0.01,$0.01,13210
43.5% or higher,2/25/2022 12:00:00 AM,$0.05,$0.06,$0.01,$0.01,13185
41.4% to 41.6%,2/26/2022 12:00:00 AM,$0.17,$0.17,$0.10,$0.12,6678
42.3% to 42.5%,2/26/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,5565
41.3% or lower,2/26/2022 12:00:00 AM,$0.73,$0.84,$0.73,$0.80,7554
41.7% to 41.9%,2/26/2022 12:00:00 AM,$0.08,$0.08,$0.04,$0.06,8156
42.0% to 42.2%,2/26/2022 12:00:00 AM,$0.03,$0.04,$0.02,$0.04,8213
42.6% to 42.8%,2/26/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1394
42.9% to 43.1%,2/26/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,321
43.2% to 43.4%,2/26/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,310
43.5% or higher,2/26/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1317
41.4% to 41.6%,2/27/2022 12:00:00 AM,$0.12,$0.13,$0.04,$0.07,12368
42.3% to 42.5%,2/27/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3288
41.3% or lower,2/27/2022 12:00:00 AM,$0.80,$0.93,$0.80,$0.91,17003
41.7% to 41.9%,2/27/2022 12:00:00 AM,$0.06,$0.06,$0.01,$0.02,12175
42.0% to 42.2%,2/27/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,10618
42.6% to 42.8%,2/27/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,433
42.9% to 43.1%,2/27/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,201
43.2% to 43.4%,2/27/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.5% or higher,2/27/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,176
41.4% to 41.6%,2/28/2022 12:00:00 AM,$0.07,$0.25,$0.06,$0.14,9132
42.3% to 42.5%,2/28/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2983
41.3% or lower,2/28/2022 12:00:00 AM,$0.91,$0.92,$0.69,$0.82,15669
41.7% to 41.9%,2/28/2022 12:00:00 AM,$0.02,$0.12,$0.01,$0.04,11084
42.0% to 42.2%,2/28/2022 12:00:00 AM,$0.01,$0.04,$0.01,$0.01,4913
42.6% to 42.8%,2/28/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,535
42.9% to 43.1%,2/28/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,198
43.2% to 43.4%,2/28/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
43.5% or higher,2/28/2022 12:00:00 AM,$0.01,$0.05,$0.01,$0.01,9689
41.4% to 41.6%,3/1/2022 12:00:00 AM,$0.14,$0.44,$0.12,$0.24,18193
42.3% to 42.5%,3/1/2022 12:00:00 AM,$0.01,$0.04,$0.01,$0.01,7757
41.3% or lower,3/1/2022 12:00:00 AM,$0.82,$0.83,$0.40,$0.72,22970
41.7% to 41.9%,3/1/2022 12:00:00 AM,$0.04,$0.15,$0.02,$0.03,10696
42.0% to 42.2%,3/1/2022 12:00:00 AM,$0.01,$0.09,$0.01,$0.01,12510
