ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
42.8% to 43.0%,12/4/2021 12:00:00 AM,$0.15,$0.18,$0.15,$0.17,426
41.3% to 41.5%,12/4/2021 12:00:00 AM,$0.05,$0.09,$0.05,$0.08,1291
41.2% or lower,12/4/2021 12:00:00 AM,$0.08,$0.10,$0.05,$0.05,932
43.1% to 43.3%,12/4/2021 12:00:00 AM,$0.05,$0.09,$0.05,$0.09,1001
41.6% to 41.8%,12/4/2021 12:00:00 AM,$0.12,$0.14,$0.11,$0.14,812
42.2% to 42.4%,12/4/2021 12:00:00 AM,$0.20,$0.21,$0.17,$0.19,326
43.4% or higher,12/4/2021 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,880
41.9% to 42.1%,12/4/2021 12:00:00 AM,$0.17,$0.17,$0.15,$0.17,374
42.5% to 42.7%,12/4/2021 12:00:00 AM,$0.19,$0.19,$0.17,$0.18,159
42.8% to 43.0%,12/5/2021 12:00:00 AM,$0.17,$0.18,$0.17,$0.17,110
41.3% to 41.5%,12/5/2021 12:00:00 AM,$0.08,$0.08,$0.05,$0.06,357
41.2% or lower,12/5/2021 12:00:00 AM,$0.05,$0.06,$0.03,$0.06,566
43.1% to 43.3%,12/5/2021 12:00:00 AM,$0.09,$0.09,$0.06,$0.06,207
41.6% to 41.8%,12/5/2021 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,111
42.2% to 42.4%,12/5/2021 12:00:00 AM,$0.19,$0.19,$0.16,$0.17,481
43.4% or higher,12/5/2021 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,471
41.9% to 42.1%,12/5/2021 12:00:00 AM,$0.17,$0.18,$0.16,$0.17,293
42.5% to 42.7%,12/5/2021 12:00:00 AM,$0.18,$0.19,$0.17,$0.19,277
42.8% to 43.0%,12/6/2021 12:00:00 AM,$0.17,$0.20,$0.16,$0.19,1617
41.3% to 41.5%,12/6/2021 12:00:00 AM,$0.06,$0.06,$0.02,$0.04,3074
41.2% or lower,12/6/2021 12:00:00 AM,$0.06,$0.06,$0.01,$0.01,3444
43.1% to 43.3%,12/6/2021 12:00:00 AM,$0.06,$0.13,$0.06,$0.11,2614
41.6% to 41.8%,12/6/2021 12:00:00 AM,$0.14,$0.16,$0.03,$0.06,3563
42.2% to 42.4%,12/6/2021 12:00:00 AM,$0.17,$0.23,$0.17,$0.18,885
43.4% or higher,12/6/2021 12:00:00 AM,$0.07,$0.10,$0.06,$0.07,2381
41.9% to 42.1%,12/6/2021 12:00:00 AM,$0.17,$0.17,$0.08,$0.10,2175
42.5% to 42.7%,12/6/2021 12:00:00 AM,$0.19,$0.26,$0.18,$0.24,1472
42.8% to 43.0%,12/7/2021 12:00:00 AM,$0.19,$0.30,$0.18,$0.26,3744
41.3% to 41.5%,12/7/2021 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,5234
41.2% or lower,12/7/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5766
43.1% to 43.3%,12/7/2021 12:00:00 AM,$0.11,$0.26,$0.08,$0.25,4788
41.6% to 41.8%,12/7/2021 12:00:00 AM,$0.06,$0.06,$0.01,$0.02,8035
42.2% to 42.4%,12/7/2021 12:00:00 AM,$0.18,$0.22,$0.08,$0.08,1859
43.4% or higher,12/7/2021 12:00:00 AM,$0.07,$0.42,$0.05,$0.16,5510
41.9% to 42.1%,12/7/2021 12:00:00 AM,$0.10,$0.12,$0.03,$0.04,4658
42.5% to 42.7%,12/7/2021 12:00:00 AM,$0.24,$0.35,$0.13,$0.13,4350
42.8% to 43.0%,12/8/2021 12:00:00 AM,$0.26,$0.29,$0.03,$0.04,9934
41.3% to 41.5%,12/8/2021 12:00:00 AM,$0.01,$0.04,$0.01,$0.04,6992
41.2% or lower,12/8/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,6827
43.1% to 43.3%,12/8/2021 12:00:00 AM,$0.25,$0.28,$0.01,$0.01,7030
41.6% to 41.8%,12/8/2021 12:00:00 AM,$0.02,$0.17,$0.01,$0.15,5146
42.2% to 42.4%,12/8/2021 12:00:00 AM,$0.08,$0.41,$0.03,$0.32,7820
43.4% or higher,12/8/2021 12:00:00 AM,$0.16,$0.19,$0.01,$0.01,9201
41.9% to 42.1%,12/8/2021 12:00:00 AM,$0.04,$0.35,$0.02,$0.31,4834
42.5% to 42.7%,12/8/2021 12:00:00 AM,$0.13,$0.34,$0.12,$0.16,4582
42.8% to 43.0%,12/9/2021 12:00:00 AM,$0.04,$0.06,$0.01,$0.01,7398
41.3% to 41.5%,12/9/2021 12:00:00 AM,$0.04,$0.05,$0.01,$0.01,11491
41.2% or lower,12/9/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,10540
43.1% to 43.3%,12/9/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5449
41.6% to 41.8%,12/9/2021 12:00:00 AM,$0.15,$0.20,$0.03,$0.03,5117
42.2% to 42.4%,12/9/2021 12:00:00 AM,$0.32,$0.68,$0.19,$0.64,9083
43.4% or higher,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1592
41.9% to 42.1%,12/9/2021 12:00:00 AM,$0.31,$0.32,$0.12,$0.24,5405
42.5% to 42.7%,12/9/2021 12:00:00 AM,$0.16,$0.35,$0.10,$0.15,7056
42.8% to 43.0%,12/10/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,4761
41.3% to 41.5%,12/10/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1017
41.2% or lower,12/10/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,157
43.1% to 43.3%,12/10/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,2608
41.6% to 41.8%,12/10/2021 12:00:00 AM,$0.03,$0.07,$0.01,$0.01,2745
42.2% to 42.4%,12/10/2021 12:00:00 AM,$0.64,$0.99,$0.54,$0.99,14720
43.4% or higher,12/10/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5678
41.9% to 42.1%,12/10/2021 12:00:00 AM,$0.24,$0.42,$0.01,$0.01,15614
42.5% to 42.7%,12/10/2021 12:00:00 AM,$0.15,$0.28,$0.01,$0.01,10077
