ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.7% to 41.9%,12/3/2021 12:00:00 AM,$0.08,$0.10,$0.06,$0.08,3651
42.6% to 42.8%,12/3/2021 12:00:00 AM,$0.24,$0.26,$0.22,$0.26,3990
41.2% or lower,12/3/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,8485
42.0% to 42.2%,12/3/2021 12:00:00 AM,$0.18,$0.19,$0.15,$0.16,2918
42.3% to 42.5%,12/3/2021 12:00:00 AM,$0.20,$0.27,$0.19,$0.22,2878
42.9% to 43.1%,12/3/2021 12:00:00 AM,$0.19,$0.23,$0.19,$0.23,2801
43.2% to 43.4%,12/3/2021 12:00:00 AM,$0.06,$0.10,$0.06,$0.09,3354
41.3% to 41.6%,12/3/2021 12:00:00 AM,$0.04,$0.05,$0.02,$0.03,4303
43.5% or higher,12/3/2021 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,5879
41.7% to 41.9%,12/4/2021 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,1408
42.6% to 42.8%,12/4/2021 12:00:00 AM,$0.26,$0.27,$0.25,$0.26,2010
41.2% or lower,12/4/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,1510
42.0% to 42.2%,12/4/2021 12:00:00 AM,$0.16,$0.17,$0.15,$0.15,1464
42.3% to 42.5%,12/4/2021 12:00:00 AM,$0.22,$0.24,$0.22,$0.22,1142
42.9% to 43.1%,12/4/2021 12:00:00 AM,$0.23,$0.23,$0.20,$0.22,1944
43.2% to 43.4%,12/4/2021 12:00:00 AM,$0.09,$0.10,$0.06,$0.07,3372
41.3% to 41.6%,12/4/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.02,4562
43.5% or higher,12/4/2021 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,4142
41.7% to 41.9%,12/5/2021 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,896
42.6% to 42.8%,12/5/2021 12:00:00 AM,$0.26,$0.27,$0.26,$0.27,1004
41.2% or lower,12/5/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1045
42.0% to 42.2%,12/5/2021 12:00:00 AM,$0.15,$0.16,$0.14,$0.16,1486
42.3% to 42.5%,12/5/2021 12:00:00 AM,$0.22,$0.24,$0.22,$0.23,1502
42.9% to 43.1%,12/5/2021 12:00:00 AM,$0.22,$0.22,$0.21,$0.21,855
43.2% to 43.4%,12/5/2021 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,972
41.3% to 41.6%,12/5/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,1847
43.5% or higher,12/5/2021 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,1389
41.7% to 41.9%,12/6/2021 12:00:00 AM,$0.07,$0.08,$0.01,$0.02,19568
42.6% to 42.8%,12/6/2021 12:00:00 AM,$0.27,$0.37,$0.26,$0.34,9383
41.2% or lower,12/6/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,13510
42.0% to 42.2%,12/6/2021 12:00:00 AM,$0.16,$0.16,$0.04,$0.07,14711
42.3% to 42.5%,12/6/2021 12:00:00 AM,$0.23,$0.26,$0.15,$0.18,14709
42.9% to 43.1%,12/6/2021 12:00:00 AM,$0.21,$0.36,$0.21,$0.32,8747
43.2% to 43.4%,12/6/2021 12:00:00 AM,$0.07,$0.18,$0.07,$0.10,12691
41.3% to 41.6%,12/6/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,18536
43.5% or higher,12/6/2021 12:00:00 AM,$0.05,$0.12,$0.03,$0.04,21707
41.7% to 41.9%,12/7/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4018
42.6% to 42.8%,12/7/2021 12:00:00 AM,$0.34,$0.43,$0.26,$0.30,6641
41.2% or lower,12/7/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1237
42.0% to 42.2%,12/7/2021 12:00:00 AM,$0.07,$0.10,$0.02,$0.03,10296
42.3% to 42.5%,12/7/2021 12:00:00 AM,$0.18,$0.25,$0.05,$0.05,12574
42.9% to 43.1%,12/7/2021 12:00:00 AM,$0.32,$0.50,$0.27,$0.43,9299
43.2% to 43.4%,12/7/2021 12:00:00 AM,$0.10,$0.35,$0.07,$0.17,10342
41.3% to 41.6%,12/7/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1210
43.5% or higher,12/7/2021 12:00:00 AM,$0.04,$0.07,$0.02,$0.03,17390
41.7% to 41.9%,12/8/2021 12:00:00 AM,$0.01,$0.04,$0.01,$0.01,9672
42.6% to 42.8%,12/8/2021 12:00:00 AM,$0.30,$0.58,$0.01,$0.01,39178
41.2% or lower,12/8/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,648
42.0% to 42.2%,12/8/2021 12:00:00 AM,$0.03,$0.18,$0.01,$0.01,26446
42.3% to 42.5%,12/8/2021 12:00:00 AM,$0.05,$0.99,$0.04,$0.99,39287
42.9% to 43.1%,12/8/2021 12:00:00 AM,$0.43,$0.53,$0.01,$0.01,26598
43.2% to 43.4%,12/8/2021 12:00:00 AM,$0.17,$0.21,$0.01,$0.01,19054
41.3% to 41.6%,12/8/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1610
43.5% or higher,12/8/2021 12:00:00 AM,$0.03,$0.06,$0.01,$0.01,8751
41.7% to 41.9%,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.6% to 42.8%,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,373
41.2% or lower,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.0% to 42.2%,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
42.3% to 42.5%,12/9/2021 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,1143
42.9% to 43.1%,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.2% to 43.4%,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.3% to 41.6%,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.5% or higher,12/9/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
