ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
42.2% to 42.4%,11/26/2021 12:00:00 AM,$0.11,$0.13,$0.10,$0.11,3704
43.1% to 43.3%,11/26/2021 12:00:00 AM,$0.21,$0.21,$0.17,$0.18,1196
41.8% or lower,11/26/2021 12:00:00 AM,$0.04,$0.07,$0.04,$0.04,5537
42.5% to 42.7%,11/26/2021 12:00:00 AM,$0.24,$0.28,$0.22,$0.26,1867
42.8% to 43.0%,11/26/2021 12:00:00 AM,$0.21,$0.30,$0.20,$0.26,4459
43.4% to 43.6%,11/26/2021 12:00:00 AM,$0.08,$0.11,$0.06,$0.08,4677
43.7% to 43.9%,11/26/2021 12:00:00 AM,$0.07,$0.07,$0.02,$0.03,6596
41.9% to 42.1%,11/26/2021 12:00:00 AM,$0.06,$0.09,$0.05,$0.07,3194
44.0% or higher,11/26/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,9755
42.2% to 42.4%,11/27/2021 12:00:00 AM,$0.11,$0.15,$0.11,$0.15,1840
43.1% to 43.3%,11/27/2021 12:00:00 AM,$0.18,$0.19,$0.13,$0.13,2301
41.8% or lower,11/27/2021 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,5182
42.5% to 42.7%,11/27/2021 12:00:00 AM,$0.26,$0.28,$0.25,$0.28,3081
42.8% to 43.0%,11/27/2021 12:00:00 AM,$0.26,$0.29,$0.24,$0.27,2548
43.4% to 43.6%,11/27/2021 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,4787
43.7% to 43.9%,11/27/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.02,5191
41.9% to 42.1%,11/27/2021 12:00:00 AM,$0.07,$0.09,$0.06,$0.06,1415
44.0% or higher,11/27/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2801
42.2% to 42.4%,11/28/2021 12:00:00 AM,$0.15,$0.20,$0.13,$0.18,2946
43.1% to 43.3%,11/28/2021 12:00:00 AM,$0.13,$0.15,$0.08,$0.10,5660
41.8% or lower,11/28/2021 12:00:00 AM,$0.04,$0.07,$0.03,$0.03,5280
42.5% to 42.7%,11/28/2021 12:00:00 AM,$0.28,$0.36,$0.27,$0.31,2863
42.8% to 43.0%,11/28/2021 12:00:00 AM,$0.27,$0.28,$0.24,$0.28,3604
43.4% to 43.6%,11/28/2021 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,3295
43.7% to 43.9%,11/28/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,3458
41.9% to 42.1%,11/28/2021 12:00:00 AM,$0.06,$0.09,$0.06,$0.07,2560
44.0% or higher,11/28/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1085
42.2% to 42.4%,11/29/2021 12:00:00 AM,$0.18,$0.20,$0.10,$0.13,5775
43.1% to 43.3%,11/29/2021 12:00:00 AM,$0.10,$0.18,$0.08,$0.09,8681
41.8% or lower,11/29/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,13508
42.5% to 42.7%,11/29/2021 12:00:00 AM,$0.31,$0.43,$0.27,$0.36,9975
42.8% to 43.0%,11/29/2021 12:00:00 AM,$0.28,$0.46,$0.26,$0.43,8270
43.4% to 43.6%,11/29/2021 12:00:00 AM,$0.05,$0.07,$0.01,$0.01,13707
43.7% to 43.9%,11/29/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6293
41.9% to 42.1%,11/29/2021 12:00:00 AM,$0.07,$0.08,$0.01,$0.01,10655
44.0% or higher,11/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2775
42.2% to 42.4%,11/30/2021 12:00:00 AM,$0.13,$0.13,$0.01,$0.03,16944
43.1% to 43.3%,11/30/2021 12:00:00 AM,$0.09,$0.25,$0.09,$0.20,10930
41.8% or lower,11/30/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4192
42.5% to 42.7%,11/30/2021 12:00:00 AM,$0.36,$0.49,$0.06,$0.09,23395
42.8% to 43.0%,11/30/2021 12:00:00 AM,$0.43,$0.72,$0.38,$0.66,18311
43.4% to 43.6%,11/30/2021 12:00:00 AM,$0.01,$0.05,$0.01,$0.03,12514
43.7% to 43.9%,11/30/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,403
41.9% to 42.1%,11/30/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,10198
44.0% or higher,11/30/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,660
42.2% to 42.4%,12/1/2021 12:00:00 AM,$0.03,$0.99,$0.02,$0.99,56856
43.1% to 43.3%,12/1/2021 12:00:00 AM,$0.20,$0.23,$0.01,$0.01,17762
41.8% or lower,12/1/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,21770
42.5% to 42.7%,12/1/2021 12:00:00 AM,$0.09,$0.58,$0.01,$0.01,28909
42.8% to 43.0%,12/1/2021 12:00:00 AM,$0.66,$0.89,$0.01,$0.01,39840
43.4% to 43.6%,12/1/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,6222
43.7% to 43.9%,12/1/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
41.9% to 42.1%,12/1/2021 12:00:00 AM,$0.01,$0.11,$0.01,$0.01,35265
44.0% or higher,12/1/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,988
42.2% to 42.4%,12/2/2021 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,1255
43.1% to 43.3%,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.8% or lower,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.5% to 42.7%,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.8% to 43.0%,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.4% to 43.6%,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.7% to 43.9%,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.9% to 42.1%,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
44.0% or higher,12/2/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
