ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.2% to 41.4%,3/5/2022 12:00:00 AM,$0.15,$0.16,$0.14,$0.16,268
39.7% to 39.9%,3/5/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1386
39.6% or lower,3/5/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,870
41.5% to 41.7%,3/5/2022 12:00:00 AM,$0.19,$0.20,$0.18,$0.20,358
40.0% to 40.2%,3/5/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1441
40.6% to 40.8%,3/5/2022 12:00:00 AM,$0.06,$0.08,$0.03,$0.07,620
41.8% or higher,3/5/2022 12:00:00 AM,$0.55,$0.56,$0.39,$0.44,3585
40.3% to 40.5%,3/5/2022 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,399
40.9% to 41.1%,3/5/2022 12:00:00 AM,$0.08,$0.10,$0.08,$0.09,434
41.2% to 41.4%,3/6/2022 12:00:00 AM,$0.16,$0.24,$0.15,$0.23,2629
39.7% to 39.9%,3/6/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2249
39.6% or lower,3/6/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3141
41.5% to 41.7%,3/6/2022 12:00:00 AM,$0.20,$0.21,$0.15,$0.16,916
40.0% to 40.2%,3/6/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,2793
40.6% to 40.8%,3/6/2022 12:00:00 AM,$0.07,$0.10,$0.03,$0.08,1483
41.8% or higher,3/6/2022 12:00:00 AM,$0.44,$0.63,$0.29,$0.34,11594
40.3% to 40.5%,3/6/2022 12:00:00 AM,$0.05,$0.07,$0.03,$0.05,1640
40.9% to 41.1%,3/6/2022 12:00:00 AM,$0.09,$0.17,$0.07,$0.16,2277
41.2% to 41.4%,3/7/2022 12:00:00 AM,$0.23,$0.24,$0.06,$0.09,3047
39.7% to 39.9%,3/7/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,620
39.6% or lower,3/7/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,560
41.5% to 41.7%,3/7/2022 12:00:00 AM,$0.16,$0.21,$0.14,$0.18,1355
40.0% to 40.2%,3/7/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,3550
40.6% to 40.8%,3/7/2022 12:00:00 AM,$0.08,$0.11,$0.02,$0.02,2918
41.8% or higher,3/7/2022 12:00:00 AM,$0.34,$0.71,$0.31,$0.66,14839
40.3% to 40.5%,3/7/2022 12:00:00 AM,$0.05,$0.05,$0.01,$0.02,2850
40.9% to 41.1%,3/7/2022 12:00:00 AM,$0.16,$0.17,$0.03,$0.05,2239
41.2% to 41.4%,3/8/2022 12:00:00 AM,$0.09,$0.15,$0.05,$0.06,3355
39.7% to 39.9%,3/8/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
39.6% or lower,3/8/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.5% to 41.7%,3/8/2022 12:00:00 AM,$0.18,$0.23,$0.12,$0.14,2279
40.0% to 40.2%,3/8/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2297
40.6% to 40.8%,3/8/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.02,1589
41.8% or higher,3/8/2022 12:00:00 AM,$0.66,$0.82,$0.57,$0.78,12611
40.3% to 40.5%,3/8/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4582
40.9% to 41.1%,3/8/2022 12:00:00 AM,$0.05,$0.06,$0.01,$0.03,2871
41.2% to 41.4%,3/9/2022 12:00:00 AM,$0.06,$0.06,$0.01,$0.02,4746
39.7% to 39.9%,3/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.6% or lower,3/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
41.5% to 41.7%,3/9/2022 12:00:00 AM,$0.14,$0.22,$0.04,$0.05,2930
40.0% to 40.2%,3/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,152
40.6% to 40.8%,3/9/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2310
41.8% or higher,3/9/2022 12:00:00 AM,$0.78,$0.94,$0.69,$0.89,12140
40.3% to 40.5%,3/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,257
40.9% to 41.1%,3/9/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,2893
41.2% to 41.4%,3/10/2022 12:00:00 AM,$0.02,$0.10,$0.01,$0.02,18506
39.7% to 39.9%,3/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.6% or lower,3/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.5% to 41.7%,3/10/2022 12:00:00 AM,$0.05,$0.27,$0.03,$0.16,15430
