ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
45.7% to 45.9%,9/2/2021 12:00:00 AM,$0.15,$0.26,$0.11,$0.23,22159
46.6% to 46.8%,9/2/2021 12:00:00 AM,$0.10,$0.19,$0.05,$0.07,36057
45.6% or lower,9/2/2021 12:00:00 AM,$0.32,$0.51,$0.20,$0.39,71258
46.0% to 46.2%,9/2/2021 12:00:00 AM,$0.14,$0.24,$0.11,$0.16,29193
46.3% to 46.5%,9/2/2021 12:00:00 AM,$0.14,$0.18,$0.06,$0.09,37673
46.9% to 47.1%,9/2/2021 12:00:00 AM,$0.09,$0.12,$0.03,$0.04,30124
47.2% to 47.4%,9/2/2021 12:00:00 AM,$0.08,$0.11,$0.02,$0.02,32626
47.5% to 47.7%,9/2/2021 12:00:00 AM,$0.05,$0.06,$0.01,$0.02,39110
47.8% or higher,9/2/2021 12:00:00 AM,$0.06,$0.12,$0.02,$0.02,36651
45.7% to 45.9%,9/3/2021 12:00:00 AM,$0.23,$0.29,$0.21,$0.28,15890
46.6% to 46.8%,9/3/2021 12:00:00 AM,$0.07,$0.09,$0.03,$0.04,22813
45.6% or lower,9/3/2021 12:00:00 AM,$0.39,$0.60,$0.33,$0.36,40830
46.0% to 46.2%,9/3/2021 12:00:00 AM,$0.16,$0.25,$0.12,$0.19,21044
46.3% to 46.5%,9/3/2021 12:00:00 AM,$0.09,$0.13,$0.05,$0.11,23033
46.9% to 47.1%,9/3/2021 12:00:00 AM,$0.04,$0.05,$0.01,$0.03,19071
47.2% to 47.4%,9/3/2021 12:00:00 AM,$0.02,$0.04,$0.01,$0.02,17453
47.5% to 47.7%,9/3/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,6998
47.8% or higher,9/3/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,12637
45.7% to 45.9%,9/4/2021 12:00:00 AM,$0.28,$0.32,$0.25,$0.28,6123
46.6% to 46.8%,9/4/2021 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,7305
45.6% or lower,9/4/2021 12:00:00 AM,$0.36,$0.43,$0.34,$0.34,11448
46.0% to 46.2%,9/4/2021 12:00:00 AM,$0.19,$0.21,$0.17,$0.18,4969
46.3% to 46.5%,9/4/2021 12:00:00 AM,$0.11,$0.11,$0.07,$0.09,5585
46.9% to 47.1%,9/4/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,6932
47.2% to 47.4%,9/4/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,2866
47.5% to 47.7%,9/4/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,2141
47.8% or higher,9/4/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,2190
45.7% to 45.9%,9/5/2021 12:00:00 AM,$0.28,$0.33,$0.28,$0.30,5585
46.6% to 46.8%,9/5/2021 12:00:00 AM,$0.04,$0.06,$0.03,$0.05,6366
45.6% or lower,9/5/2021 12:00:00 AM,$0.34,$0.41,$0.33,$0.35,10073
46.0% to 46.2%,9/5/2021 12:00:00 AM,$0.18,$0.21,$0.17,$0.20,4926
46.3% to 46.5%,9/5/2021 12:00:00 AM,$0.09,$0.11,$0.08,$0.08,5553
46.9% to 47.1%,9/5/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,4488
47.2% to 47.4%,9/5/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1347
47.5% to 47.7%,9/5/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2186
47.8% or higher,9/5/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,2216
45.7% to 45.9%,9/6/2021 12:00:00 AM,$0.30,$0.31,$0.21,$0.24,18807
46.6% to 46.8%,9/6/2021 12:00:00 AM,$0.05,$0.20,$0.04,$0.12,32992
45.6% or lower,9/6/2021 12:00:00 AM,$0.35,$0.40,$0.08,$0.13,48937
46.0% to 46.2%,9/6/2021 12:00:00 AM,$0.20,$0.38,$0.17,$0.30,21908
46.3% to 46.5%,9/6/2021 12:00:00 AM,$0.08,$0.30,$0.08,$0.22,20719
46.9% to 47.1%,9/6/2021 12:00:00 AM,$0.03,$0.08,$0.02,$0.05,39157
47.2% to 47.4%,9/6/2021 12:00:00 AM,$0.01,$0.05,$0.01,$0.03,28259
47.5% to 47.7%,9/6/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,19499
47.8% or higher,9/6/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,11301
45.7% to 45.9%,9/7/2021 12:00:00 AM,$0.24,$0.77,$0.01,$0.01,89745
46.6% to 46.8%,9/7/2021 12:00:00 AM,$0.12,$0.30,$0.01,$0.01,30463
45.6% or lower,9/7/2021 12:00:00 AM,$0.13,$0.99,$0.02,$0.99,95674
46.0% to 46.2%,9/7/2021 12:00:00 AM,$0.30,$0.62,$0.01,$0.01,58752
46.3% to 46.5%,9/7/2021 12:00:00 AM,$0.22,$0.33,$0.01,$0.01,45374
46.9% to 47.1%,9/7/2021 12:00:00 AM,$0.05,$0.11,$0.01,$0.01,21588
47.2% to 47.4%,9/7/2021 12:00:00 AM,$0.03,$0.06,$0.01,$0.01,16019
