ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.7% to 40.9%,5/19/2022 12:00:00 AM,$0.30,$0.45,$0.22,$0.27,4429
41.6% to 41.8%,5/19/2022 12:00:00 AM,$0.10,$0.16,$0.08,$0.16,2071
40.3% or lower,5/19/2022 12:00:00 AM,$0.06,$0.12,$0.05,$0.12,2597
41.0% to 41.2%,5/19/2022 12:00:00 AM,$0.25,$0.25,$0.22,$0.24,666
41.3% to 41.5%,5/19/2022 12:00:00 AM,$0.15,$0.24,$0.15,$0.16,367
41.9% to 42.1%,5/19/2022 12:00:00 AM,$0.08,$0.08,$0.04,$0.04,2440
42.2% to 42.4%,5/19/2022 12:00:00 AM,$0.06,$0.10,$0.02,$0.10,1837
40.4% to 40.6%,5/19/2022 12:00:00 AM,$0.30,$0.30,$0.12,$0.15,1038
42.5% or higher,5/19/2022 12:00:00 AM,$0.02,$0.05,$0.01,$0.05,2375
40.7% to 40.9%,5/20/2022 12:00:00 AM,$0.27,$0.35,$0.25,$0.26,4034
41.6% to 41.8%,5/20/2022 12:00:00 AM,$0.16,$0.16,$0.01,$0.02,8266
40.3% or lower,5/20/2022 12:00:00 AM,$0.12,$0.36,$0.08,$0.26,5234
41.0% to 41.2%,5/20/2022 12:00:00 AM,$0.24,$0.24,$0.15,$0.16,5138
41.3% to 41.5%,5/20/2022 12:00:00 AM,$0.16,$0.24,$0.05,$0.08,4818
41.9% to 42.1%,5/20/2022 12:00:00 AM,$0.04,$0.05,$0.01,$0.01,4932
42.2% to 42.4%,5/20/2022 12:00:00 AM,$0.10,$0.10,$0.01,$0.01,1896
40.4% to 40.6%,5/20/2022 12:00:00 AM,$0.15,$0.31,$0.13,$0.30,3281
42.5% or higher,5/20/2022 12:00:00 AM,$0.05,$0.05,$0.01,$0.01,603
40.7% to 40.9%,5/21/2022 12:00:00 AM,$0.26,$0.32,$0.24,$0.25,1266
41.6% to 41.8%,5/21/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1550
40.3% or lower,5/21/2022 12:00:00 AM,$0.26,$0.30,$0.22,$0.23,2750
41.0% to 41.2%,5/21/2022 12:00:00 AM,$0.16,$0.19,$0.15,$0.15,928
41.3% to 41.5%,5/21/2022 12:00:00 AM,$0.08,$0.10,$0.07,$0.08,1512
41.9% to 42.1%,5/21/2022 12:00:00 AM,$0.01,$0.06,$0.01,$0.01,3167
42.2% to 42.4%,5/21/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
40.4% to 40.6%,5/21/2022 12:00:00 AM,$0.30,$0.33,$0.28,$0.32,2407
42.5% or higher,5/21/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,35
40.7% to 40.9%,5/22/2022 12:00:00 AM,$0.25,$0.27,$0.04,$0.27,2368
41.6% to 41.8%,5/22/2022 12:00:00 AM,$0.02,$0.13,$0.02,$0.13,7754
40.3% or lower,5/22/2022 12:00:00 AM,$0.23,$0.26,$0.04,$0.09,9120
41.0% to 41.2%,5/22/2022 12:00:00 AM,$0.15,$0.32,$0.15,$0.28,3520
41.3% to 41.5%,5/22/2022 12:00:00 AM,$0.08,$0.34,$0.08,$0.20,4196
41.9% to 42.1%,5/22/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.03,2760
42.2% to 42.4%,5/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3720
40.4% to 40.6%,5/22/2022 12:00:00 AM,$0.32,$0.32,$0.11,$0.14,5591
42.5% or higher,5/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5605
40.7% to 40.9%,5/23/2022 12:00:00 AM,$0.27,$0.55,$0.16,$0.29,8943
41.6% to 41.8%,5/23/2022 12:00:00 AM,$0.13,$0.14,$0.01,$0.05,7213
40.3% or lower,5/23/2022 12:00:00 AM,$0.09,$0.15,$0.03,$0.04,10803
41.0% to 41.2%,5/23/2022 12:00:00 AM,$0.28,$0.44,$0.20,$0.40,9050
41.3% to 41.5%,5/23/2022 12:00:00 AM,$0.20,$0.24,$0.09,$0.18,5198
41.9% to 42.1%,5/23/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,3173
42.2% to 42.4%,5/23/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2107
