ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
45.7% to 45.9%,9/10/2021 12:00:00 AM,$0.12,$0.13,$0.10,$0.13,2162
44.2% to 44.4%,9/10/2021 12:00:00 AM,$0.09,$0.11,$0.04,$0.05,2877
44.1% or lower,9/10/2021 12:00:00 AM,$0.11,$0.11,$0.03,$0.07,4087
46.0% to 46.2%,9/10/2021 12:00:00 AM,$0.10,$0.16,$0.10,$0.11,4475
44.5% to 44.7%,9/10/2021 12:00:00 AM,$0.12,$0.15,$0.07,$0.09,1960
45.1% to 45.3%,9/10/2021 12:00:00 AM,$0.12,$0.14,$0.10,$0.12,3126
46.3% or higher,9/10/2021 12:00:00 AM,$0.15,$0.32,$0.15,$0.25,7324
44.8% to 45.0%,9/10/2021 12:00:00 AM,$0.12,$0.13,$0.10,$0.12,2027
45.4% to 45.6%,9/10/2021 12:00:00 AM,$0.15,$0.21,$0.09,$0.13,3860
45.7% to 45.9%,9/11/2021 12:00:00 AM,$0.13,$0.15,$0.12,$0.15,683
44.2% to 44.4%,9/11/2021 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,665
44.1% or lower,9/11/2021 12:00:00 AM,$0.07,$0.08,$0.04,$0.08,1800
46.0% to 46.2%,9/11/2021 12:00:00 AM,$0.11,$0.14,$0.11,$0.14,1218
44.5% to 44.7%,9/11/2021 12:00:00 AM,$0.09,$0.09,$0.05,$0.06,2237
45.1% to 45.3%,9/11/2021 12:00:00 AM,$0.12,$0.14,$0.10,$0.11,1957
46.3% or higher,9/11/2021 12:00:00 AM,$0.25,$0.28,$0.22,$0.25,1610
44.8% to 45.0%,9/11/2021 12:00:00 AM,$0.12,$0.13,$0.07,$0.08,1992
45.4% to 45.6%,9/11/2021 12:00:00 AM,$0.13,$0.16,$0.13,$0.16,414
45.7% to 45.9%,9/12/2021 12:00:00 AM,$0.15,$0.15,$0.11,$0.13,2504
44.2% to 44.4%,9/12/2021 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1099
44.1% or lower,9/12/2021 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,1423
46.0% to 46.2%,9/12/2021 12:00:00 AM,$0.14,$0.14,$0.11,$0.12,2158
44.5% to 44.7%,9/12/2021 12:00:00 AM,$0.06,$0.10,$0.05,$0.08,1018
45.1% to 45.3%,9/12/2021 12:00:00 AM,$0.11,$0.21,$0.10,$0.13,3759
46.3% or higher,9/12/2021 12:00:00 AM,$0.25,$0.25,$0.15,$0.17,3289
44.8% to 45.0%,9/12/2021 12:00:00 AM,$0.08,$0.21,$0.08,$0.10,3057
45.4% to 45.6%,9/12/2021 12:00:00 AM,$0.16,$0.16,$0.11,$0.14,950
45.7% to 45.9%,9/13/2021 12:00:00 AM,$0.13,$0.20,$0.12,$0.20,901
44.2% to 44.4%,9/13/2021 12:00:00 AM,$0.04,$0.04,$0.01,$0.03,2719
44.1% or lower,9/13/2021 12:00:00 AM,$0.05,$0.05,$0.02,$0.02,4046
46.0% to 46.2%,9/13/2021 12:00:00 AM,$0.12,$0.18,$0.12,$0.17,1546
44.5% to 44.7%,9/13/2021 12:00:00 AM,$0.08,$0.09,$0.02,$0.05,4011
