ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
42.7% to 42.9%,12/31/2021 12:00:00 AM,$0.19,$0.22,$0.14,$0.14,3693
43.6% to 43.8%,12/31/2021 12:00:00 AM,$0.15,$0.19,$0.13,$0.13,2556
42.3% or lower,12/31/2021 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,2405
43.0% to 43.2%,12/31/2021 12:00:00 AM,$0.27,$0.34,$0.25,$0.30,2999
43.3% to 43.5%,12/31/2021 12:00:00 AM,$0.22,$0.33,$0.22,$0.27,2800
43.9% to 44.1%,12/31/2021 12:00:00 AM,$0.10,$0.10,$0.05,$0.05,2373
44.2% to 44.4%,12/31/2021 12:00:00 AM,$0.02,$0.04,$0.02,$0.02,3302
42.4% to 42.6%,12/31/2021 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,2415
44.5% or higher,12/31/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,4070
42.7% to 42.9%,1/1/2022 12:00:00 AM,$0.14,$0.15,$0.11,$0.12,1385
43.6% to 43.8%,1/1/2022 12:00:00 AM,$0.13,$0.16,$0.13,$0.15,544
42.3% or lower,1/1/2022 12:00:00 AM,$0.03,$0.05,$0.01,$0.02,6420
43.0% to 43.2%,1/1/2022 12:00:00 AM,$0.30,$0.34,$0.28,$0.30,2198
43.3% to 43.5%,1/1/2022 12:00:00 AM,$0.27,$0.32,$0.27,$0.31,1435
43.9% to 44.1%,1/1/2022 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,2251
44.2% to 44.4%,1/1/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,7242
42.4% to 42.6%,1/1/2022 12:00:00 AM,$0.05,$0.07,$0.03,$0.05,1503
44.5% or higher,1/1/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5105
42.7% to 42.9%,1/2/2022 12:00:00 AM,$0.12,$0.21,$0.11,$0.15,5866
43.6% to 43.8%,1/2/2022 12:00:00 AM,$0.15,$0.20,$0.11,$0.16,5683
42.3% or lower,1/2/2022 12:00:00 AM,$0.02,$0.05,$0.02,$0.03,9467
43.0% to 43.2%,1/2/2022 12:00:00 AM,$0.30,$0.36,$0.28,$0.33,3803
43.3% to 43.5%,1/2/2022 12:00:00 AM,$0.31,$0.31,$0.25,$0.25,4758
43.9% to 44.1%,1/2/2022 12:00:00 AM,$0.07,$0.11,$0.05,$0.07,12309
44.2% to 44.4%,1/2/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.02,11982
42.4% to 42.6%,1/2/2022 12:00:00 AM,$0.05,$0.09,$0.03,$0.06,8015
44.5% or higher,1/2/2022 12:00:00 AM,$0.01,$0.04,$0.01,$0.01,15781
42.7% to 42.9%,1/3/2022 12:00:00 AM,$0.15,$0.28,$0.13,$0.21,8304
43.6% to 43.8%,1/3/2022 12:00:00 AM,$0.16,$0.20,$0.07,$0.11,12608
42.3% or lower,1/3/2022 12:00:00 AM,$0.03,$0.10,$0.03,$0.08,18382
43.0% to 43.2%,1/3/2022 12:00:00 AM,$0.33,$0.37,$0.29,$0.35,3980
43.3% to 43.5%,1/3/2022 12:00:00 AM,$0.25,$0.37,$0.16,$0.21,8594
43.9% to 44.1%,1/3/2022 12:00:00 AM,$0.07,$0.07,$0.01,$0.01,15434
44.2% to 44.4%,1/3/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,9713
42.4% to 42.6%,1/3/2022 12:00:00 AM,$0.06,$0.19,$0.04,$0.14,14561
44.5% or higher,1/3/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1607
42.7% to 42.9%,1/4/2022 12:00:00 AM,$0.21,$0.27,$0.10,$0.14,10249
