ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
44.7% to 44.9%,10/9/2021 12:00:00 AM,$0.06,$0.07,$0.04,$0.05,2715
43.2% to 43.4%,10/9/2021 12:00:00 AM,$0.18,$0.20,$0.17,$0.20,2436
43.1% or lower,10/9/2021 12:00:00 AM,$0.32,$0.33,$0.30,$0.33,2939
45.0% to 45.2%,10/9/2021 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,4059
43.5% to 43.7%,10/9/2021 12:00:00 AM,$0.15,$0.17,$0.14,$0.17,2309
44.1% to 44.3%,10/9/2021 12:00:00 AM,$0.09,$0.10,$0.07,$0.08,1361
45.3% or higher,10/9/2021 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,1984
43.8% to 44.0%,10/9/2021 12:00:00 AM,$0.15,$0.15,$0.12,$0.15,1153
44.4% to 44.6%,10/9/2021 12:00:00 AM,$0.07,$0.09,$0.06,$0.07,1525
44.7% to 44.9%,10/10/2021 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,1915
43.2% to 43.4%,10/10/2021 12:00:00 AM,$0.20,$0.20,$0.16,$0.17,2338
43.1% or lower,10/10/2021 12:00:00 AM,$0.33,$0.35,$0.26,$0.31,6460
45.0% to 45.2%,10/10/2021 12:00:00 AM,$0.03,$0.05,$0.02,$0.03,2730
43.5% to 43.7%,10/10/2021 12:00:00 AM,$0.17,$0.20,$0.14,$0.17,1849
44.1% to 44.3%,10/10/2021 12:00:00 AM,$0.08,$0.12,$0.08,$0.10,2463
45.3% or higher,10/10/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,3545
43.8% to 44.0%,10/10/2021 12:00:00 AM,$0.15,$0.18,$0.12,$0.15,1399
44.4% to 44.6%,10/10/2021 12:00:00 AM,$0.07,$0.08,$0.05,$0.08,1866
44.7% to 44.9%,10/11/2021 12:00:00 AM,$0.05,$0.06,$0.03,$0.04,2902
43.2% to 43.4%,10/11/2021 12:00:00 AM,$0.17,$0.20,$0.16,$0.17,2427
43.1% or lower,10/11/2021 12:00:00 AM,$0.31,$0.41,$0.29,$0.40,13344
45.0% to 45.2%,10/11/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.02,3371
43.5% to 43.7%,10/11/2021 12:00:00 AM,$0.17,$0.17,$0.14,$0.14,1689
44.1% to 44.3%,10/11/2021 12:00:00 AM,$0.10,$0.11,$0.07,$0.10,2815
45.3% or higher,10/11/2021 12:00:00 AM,$0.03,$0.05,$0.01,$0.03,4208
43.8% to 44.0%,10/11/2021 12:00:00 AM,$0.15,$0.16,$0.12,$0.13,3326
44.4% to 44.6%,10/11/2021 12:00:00 AM,$0.08,$0.08,$0.05,$0.07,4683
44.7% to 44.9%,10/12/2021 12:00:00 AM,$0.04,$0.08,$0.01,$0.01,7511
43.2% to 43.4%,10/12/2021 12:00:00 AM,$0.17,$0.26,$0.10,$0.23,3983
43.1% or lower,10/12/2021 12:00:00 AM,$0.40,$0.55,$0.32,$0.51,9642
45.0% to 45.2%,10/12/2021 12:00:00 AM,$0.02,$0.05,$0.01,$0.01,5395
43.5% to 43.7%,10/12/2021 12:00:00 AM,$0.14,$0.17,$0.10,$0.14,4518
44.1% to 44.3%,10/12/2021 12:00:00 AM,$0.10,$0.12,$0.03,$0.03,5971
45.3% or higher,10/12/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,7705
43.8% to 44.0%,10/12/2021 12:00:00 AM,$0.13,$0.16,$0.05,$0.07,4918
44.4% to 44.6%,10/12/2021 12:00:00 AM,$0.07,$0.48,$0.02,$0.02,5051
44.7% to 44.9%,10/13/2021 12:00:00 AM,$0.01,$0.18,$0.01,$0.14,9061
43.2% to 43.4%,10/13/2021 12:00:00 AM,$0.23,$0.41,$0.02,$0.02,15863
43.1% or lower,10/13/2021 12:00:00 AM,$0.51,$0.75,$0.03,$0.03,31661
45.0% to 45.2%,10/13/2021 12:00:00 AM,$0.01,$0.24,$0.01,$0.08,11672
43.5% to 43.7%,10/13/2021 12:00:00 AM,$0.14,$0.25,$0.05,$0.07,12870
44.1% to 44.3%,10/13/2021 12:00:00 AM,$0.03,$0.35,$0.02,$0.29,18519
45.3% or higher,10/13/2021 12:00:00 AM,$0.01,$0.10,$0.01,$0.05,10807
43.8% to 44.0%,10/13/2021 12:00:00 AM,$0.07,$0.27,$0.03,$0.25,12039
44.4% to 44.6%,10/13/2021 12:00:00 AM,$0.02,$0.19,$0.02,$0.17,7857
44.7% to 44.9%,10/14/2021 12:00:00 AM,$0.14,$0.29,$0.03,$0.03,20001
43.2% to 43.4%,10/14/2021 12:00:00 AM,$0.02,$0.05,$0.01,$0.01,14105
43.1% or lower,10/14/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,17443
45.0% to 45.2%,10/14/2021 12:00:00 AM,$0.08,$0.10,$0.01,$0.03,19216
43.5% to 43.7%,10/14/2021 12:00:00 AM,$0.07,$0.25,$0.05,$0.15,18849
44.1% to 44.3%,10/14/2021 12:00:00 AM,$0.29,$0.45,$0.02,$0.07,37631
45.3% or higher,10/14/2021 12:00:00 AM,$0.05,$0.07,$0.01,$0.02,27824
43.8% to 44.0%,10/14/2021 12:00:00 AM,$0.25,$0.74,$0.19,$0.70,22723
44.4% to 44.6%,10/14/2021 12:00:00 AM,$0.17,$0.20,$0.03,$0.05,16696
44.7% to 44.9%,10/15/2021 12:00:00 AM,$0.03,$0.08,$0.01,$0.02,12873
43.2% to 43.4%,10/15/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,5253
43.1% or lower,10/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,388
45.0% to 45.2%,10/15/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,1583
43.5% to 43.7%,10/15/2021 12:00:00 AM,$0.15,$0.21,$0.01,$0.01,13142
44.1% to 44.3%,10/15/2021 12:00:00 AM,$0.07,$0.12,$0.01,$0.01,8090
45.3% or higher,10/15/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,5055
43.8% to 44.0%,10/15/2021 12:00:00 AM,$0.70,$0.99,$0.68,$0.99,24918
44.4% to 44.6%,10/15/2021 12:00:00 AM,$0.05,$0.12,$0.01,$0.01,17379
