ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.1% to 41.3%,4/29/2022 12:00:00 AM,$0.15,$0.22,$0.15,$0.20,1322
42.0% to 42.2%,4/29/2022 12:00:00 AM,$0.17,$0.20,$0.15,$0.17,1959
40.7% or lower,4/29/2022 12:00:00 AM,$0.04,$0.05,$0.02,$0.02,7588
41.4% to 41.6%,4/29/2022 12:00:00 AM,$0.22,$0.24,$0.20,$0.24,2868
41.7% to 41.9%,4/29/2022 12:00:00 AM,$0.21,$0.25,$0.20,$0.23,1237
42.3% to 42.5%,4/29/2022 12:00:00 AM,$0.10,$0.15,$0.09,$0.13,2223
42.6% to 42.8%,4/29/2022 12:00:00 AM,$0.05,$0.10,$0.03,$0.04,1892
40.8% to 41.0%,4/29/2022 12:00:00 AM,$0.08,$0.10,$0.05,$0.08,2130
42.9% or higher,4/29/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,5470
41.1% to 41.3%,4/30/2022 12:00:00 AM,$0.20,$0.20,$0.10,$0.12,1146
42.0% to 42.2%,4/30/2022 12:00:00 AM,$0.17,$0.22,$0.17,$0.22,528
40.7% or lower,4/30/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2902
41.4% to 41.6%,4/30/2022 12:00:00 AM,$0.24,$0.25,$0.21,$0.21,703
41.7% to 41.9%,4/30/2022 12:00:00 AM,$0.23,$0.25,$0.23,$0.25,671
42.3% to 42.5%,4/30/2022 12:00:00 AM,$0.13,$0.16,$0.11,$0.14,1110
42.6% to 42.8%,4/30/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,633
40.8% to 41.0%,4/30/2022 12:00:00 AM,$0.08,$0.08,$0.03,$0.04,2534
42.9% or higher,4/30/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,789
41.1% to 41.3%,5/1/2022 12:00:00 AM,$0.12,$0.12,$0.04,$0.05,2890
42.0% to 42.2%,5/1/2022 12:00:00 AM,$0.22,$0.29,$0.20,$0.27,1226
40.7% or lower,5/1/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2419
41.4% to 41.6%,5/1/2022 12:00:00 AM,$0.21,$0.21,$0.15,$0.17,1188
41.7% to 41.9%,5/1/2022 12:00:00 AM,$0.25,$0.28,$0.23,$0.27,1337
42.3% to 42.5%,5/1/2022 12:00:00 AM,$0.14,$0.20,$0.13,$0.14,1364
42.6% to 42.8%,5/1/2022 12:00:00 AM,$0.04,$0.10,$0.04,$0.06,1976
40.8% to 41.0%,5/1/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.02,4974
42.9% or higher,5/1/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5443
41.1% to 41.3%,5/2/2022 12:00:00 AM,$0.05,$0.06,$0.01,$0.02,5674
42.0% to 42.2%,5/2/2022 12:00:00 AM,$0.27,$0.38,$0.22,$0.34,1449
40.7% or lower,5/2/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1071
41.4% to 41.6%,5/2/2022 12:00:00 AM,$0.17,$0.19,$0.07,$0.10,3290
41.7% to 41.9%,5/2/2022 12:00:00 AM,$0.27,$0.29,$0.18,$0.28,2190
42.3% to 42.5%,5/2/2022 12:00:00 AM,$0.14,$0.29,$0.14,$0.24,1758
42.6% to 42.8%,5/2/2022 12:00:00 AM,$0.06,$0.15,$0.05,$0.09,2305
