ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
45.7% to 45.9%,10/2/2021 12:00:00 AM,$0.08,$0.11,$0.07,$0.08,1190
44.2% to 44.4%,10/2/2021 12:00:00 AM,$0.11,$0.11,$0.09,$0.10,1549
44.1% or lower,10/2/2021 12:00:00 AM,$0.22,$0.23,$0.18,$0.20,2890
46.0% to 46.2%,10/2/2021 12:00:00 AM,$0.06,$0.06,$0.04,$0.06,856
44.5% to 44.7%,10/2/2021 12:00:00 AM,$0.14,$0.14,$0.10,$0.12,1012
45.1% to 45.3%,10/2/2021 12:00:00 AM,$0.17,$0.17,$0.15,$0.17,1234
46.3% or higher,10/2/2021 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,2608
44.8% to 45.0%,10/2/2021 12:00:00 AM,$0.17,$0.17,$0.14,$0.16,1027
45.4% to 45.6%,10/2/2021 12:00:00 AM,$0.14,$0.16,$0.12,$0.13,1043
45.7% to 45.9%,10/3/2021 12:00:00 AM,$0.08,$0.12,$0.07,$0.10,1643
44.2% to 44.4%,10/3/2021 12:00:00 AM,$0.10,$0.10,$0.08,$0.08,733
44.1% or lower,10/3/2021 12:00:00 AM,$0.20,$0.22,$0.18,$0.18,4376
46.0% to 46.2%,10/3/2021 12:00:00 AM,$0.06,$0.07,$0.05,$0.06,3788
44.5% to 44.7%,10/3/2021 12:00:00 AM,$0.12,$0.13,$0.10,$0.11,504
45.1% to 45.3%,10/3/2021 12:00:00 AM,$0.17,$0.17,$0.16,$0.17,1137
46.3% or higher,10/3/2021 12:00:00 AM,$0.05,$0.07,$0.04,$0.06,3276
44.8% to 45.0%,10/3/2021 12:00:00 AM,$0.16,$0.16,$0.14,$0.15,645
45.4% to 45.6%,10/3/2021 12:00:00 AM,$0.13,$0.16,$0.13,$0.15,1433
45.7% to 45.9%,10/4/2021 12:00:00 AM,$0.10,$0.18,$0.10,$0.11,4466
44.2% to 44.4%,10/4/2021 12:00:00 AM,$0.08,$0.09,$0.05,$0.07,3685
44.1% or lower,10/4/2021 12:00:00 AM,$0.18,$0.19,$0.06,$0.13,6528
46.0% to 46.2%,10/4/2021 12:00:00 AM,$0.06,$0.09,$0.04,$0.05,6579
44.5% to 44.7%,10/4/2021 12:00:00 AM,$0.11,$0.13,$0.08,$0.12,3662
45.1% to 45.3%,10/4/2021 12:00:00 AM,$0.17,$0.22,$0.16,$0.22,3825
