ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
45.7% to 45.9%,9/3/2021 12:00:00 AM,$0.07,$0.15,$0.07,$0.15,7557
46.6% to 46.8%,9/3/2021 12:00:00 AM,$0.03,$0.05,$0.02,$0.04,9953
44.7% or lower,9/3/2021 12:00:00 AM,$0.34,$0.51,$0.20,$0.28,24824
46.0% to 46.2%,9/3/2021 12:00:00 AM,$0.07,$0.10,$0.03,$0.10,11224
46.3% to 46.5%,9/3/2021 12:00:00 AM,$0.04,$0.09,$0.02,$0.06,10303
45.1% to 45.3%,9/3/2021 12:00:00 AM,$0.17,$0.24,$0.16,$0.24,5030
46.9% or higher,9/3/2021 12:00:00 AM,$0.04,$0.05,$0.02,$0.04,7509
44.8% to 45.0%,9/3/2021 12:00:00 AM,$0.15,$0.19,$0.15,$0.19,5032
45.4% to 45.6%,9/3/2021 12:00:00 AM,$0.12,$0.16,$0.09,$0.16,7384
45.7% to 45.9%,9/4/2021 12:00:00 AM,$0.15,$0.25,$0.11,$0.24,4359
46.6% to 46.8%,9/4/2021 12:00:00 AM,$0.04,$0.07,$0.03,$0.03,5100
44.7% or lower,9/4/2021 12:00:00 AM,$0.28,$0.32,$0.14,$0.19,9266
46.0% to 46.2%,9/4/2021 12:00:00 AM,$0.10,$0.16,$0.08,$0.11,5453
46.3% to 46.5%,9/4/2021 12:00:00 AM,$0.06,$0.12,$0.06,$0.07,6204
45.1% to 45.3%,9/4/2021 12:00:00 AM,$0.24,$0.25,$0.12,$0.18,6436
46.9% or higher,9/4/2021 12:00:00 AM,$0.04,$0.09,$0.03,$0.06,6046
44.8% to 45.0%,9/4/2021 12:00:00 AM,$0.19,$0.19,$0.08,$0.12,6732
45.4% to 45.6%,9/4/2021 12:00:00 AM,$0.16,$0.19,$0.12,$0.19,5596
45.7% to 45.9%,9/5/2021 12:00:00 AM,$0.24,$0.24,$0.15,$0.16,2383
46.6% to 46.8%,9/5/2021 12:00:00 AM,$0.03,$0.05,$0.02,$0.03,1701
44.7% or lower,9/5/2021 12:00:00 AM,$0.19,$0.25,$0.15,$0.22,2536
46.0% to 46.2%,9/5/2021 12:00:00 AM,$0.11,$0.13,$0.08,$0.08,1790
46.3% to 46.5%,9/5/2021 12:00:00 AM,$0.07,$0.10,$0.04,$0.05,1953
45.1% to 45.3%,9/5/2021 12:00:00 AM,$0.18,$0.22,$0.16,$0.18,2096
46.9% or higher,9/5/2021 12:00:00 AM,$0.06,$0.06,$0.02,$0.03,1508
44.8% to 45.0%,9/5/2021 12:00:00 AM,$0.12,$0.15,$0.10,$0.14,3662
45.4% to 45.6%,9/5/2021 12:00:00 AM,$0.19,$0.20,$0.14,$0.17,1981
45.7% to 45.9%,9/6/2021 12:00:00 AM,$0.16,$0.29,$0.12,$0.28,5527
46.6% to 46.8%,9/6/2021 12:00:00 AM,$0.03,$0.14,$0.03,$0.09,6849
44.7% or lower,9/6/2021 12:00:00 AM,$0.22,$0.26,$0.03,$0.04,9687
46.0% to 46.2%,9/6/2021 12:00:00 AM,$0.08,$0.25,$0.07,$0.23,7317
46.3% to 46.5%,9/6/2021 12:00:00 AM,$0.05,$0.17,$0.03,$0.13,6561
45.1% to 45.3%,9/6/2021 12:00:00 AM,$0.18,$0.20,$0.04,$0.09,12591
46.9% or higher,9/6/2021 12:00:00 AM,$0.03,$0.13,$0.02,$0.08,9529
44.8% to 45.0%,9/6/2021 12:00:00 AM,$0.14,$0.16,$0.03,$0.04,8745
