ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.9% to 41.1%,2/12/2022 12:00:00 AM,$0.15,$0.16,$0.14,$0.15,712
39.4% to 39.6%,2/12/2022 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,1163
39.3% or lower,2/12/2022 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,1090
41.2% to 41.4%,2/12/2022 12:00:00 AM,$0.14,$0.15,$0.09,$0.12,1631
39.7% to 39.9%,2/12/2022 12:00:00 AM,$0.11,$0.11,$0.08,$0.09,1110
40.3% to 40.5%,2/12/2022 12:00:00 AM,$0.15,$0.17,$0.14,$0.16,1197
41.5% or higher,2/12/2022 12:00:00 AM,$0.16,$0.19,$0.16,$0.18,2130
40.0% to 40.2%,2/12/2022 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,1591
40.6% to 40.8%,2/12/2022 12:00:00 AM,$0.14,$0.16,$0.13,$0.15,1156
40.9% to 41.1%,2/13/2022 12:00:00 AM,$0.15,$0.15,$0.13,$0.14,910
39.4% to 39.6%,2/13/2022 12:00:00 AM,$0.06,$0.07,$0.04,$0.05,2289
39.3% or lower,2/13/2022 12:00:00 AM,$0.05,$0.07,$0.04,$0.05,2634
41.2% to 41.4%,2/13/2022 12:00:00 AM,$0.12,$0.15,$0.11,$0.14,1074
39.7% to 39.9%,2/13/2022 12:00:00 AM,$0.09,$0.09,$0.06,$0.08,2087
40.3% to 40.5%,2/13/2022 12:00:00 AM,$0.16,$0.16,$0.14,$0.15,611
41.5% or higher,2/13/2022 12:00:00 AM,$0.18,$0.22,$0.17,$0.21,4630
40.0% to 40.2%,2/13/2022 12:00:00 AM,$0.12,$0.13,$0.10,$0.11,1306
40.6% to 40.8%,2/13/2022 12:00:00 AM,$0.15,$0.15,$0.13,$0.15,583
40.9% to 41.1%,2/14/2022 12:00:00 AM,$0.14,$0.16,$0.13,$0.16,676
39.4% to 39.6%,2/14/2022 12:00:00 AM,$0.05,$0.05,$0.02,$0.02,872
39.3% or lower,2/14/2022 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,896
41.2% to 41.4%,2/14/2022 12:00:00 AM,$0.14,$0.17,$0.13,$0.17,1175
39.7% to 39.9%,2/14/2022 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,761
40.3% to 40.5%,2/14/2022 12:00:00 AM,$0.15,$0.16,$0.14,$0.14,1065
