ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
45.7% to 45.9%,9/23/2021 12:00:00 AM,$0.13,$0.24,$0.13,$0.22,14709
46.6% to 46.8%,9/23/2021 12:00:00 AM,$0.16,$0.19,$0.08,$0.10,16111
45.3% or lower,9/23/2021 12:00:00 AM,$0.08,$0.24,$0.05,$0.15,38671
46.0% to 46.2%,9/23/2021 12:00:00 AM,$0.18,$0.22,$0.15,$0.19,13185
46.3% to 46.5%,9/23/2021 12:00:00 AM,$0.18,$0.21,$0.12,$0.14,13227
46.9% to 47.1%,9/23/2021 12:00:00 AM,$0.12,$0.14,$0.04,$0.05,16298
47.2% to 47.4%,9/23/2021 12:00:00 AM,$0.05,$0.08,$0.02,$0.02,17520
45.4% to 45.6%,9/23/2021 12:00:00 AM,$0.08,$0.25,$0.06,$0.18,25789
47.5% or higher,9/23/2021 12:00:00 AM,$0.06,$0.07,$0.01,$0.01,21171
45.7% to 45.9%,9/24/2021 12:00:00 AM,$0.22,$0.30,$0.13,$0.26,21838
46.6% to 46.8%,9/24/2021 12:00:00 AM,$0.10,$0.11,$0.01,$0.03,20408
45.3% or lower,9/24/2021 12:00:00 AM,$0.15,$0.49,$0.13,$0.30,39034
46.0% to 46.2%,9/24/2021 12:00:00 AM,$0.19,$0.20,$0.10,$0.14,23831
46.3% to 46.5%,9/24/2021 12:00:00 AM,$0.14,$0.16,$0.04,$0.06,22290
46.9% to 47.1%,9/24/2021 12:00:00 AM,$0.05,$0.06,$0.01,$0.01,20647
47.2% to 47.4%,9/24/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,11462
45.4% to 45.6%,9/24/2021 12:00:00 AM,$0.18,$0.35,$0.18,$0.28,18835
47.5% or higher,9/24/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9107
45.7% to 45.9%,9/25/2021 12:00:00 AM,$0.26,$0.28,$0.24,$0.28,1872
46.6% to 46.8%,9/25/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,2680
45.3% or lower,9/25/2021 12:00:00 AM,$0.30,$0.32,$0.26,$0.31,6100
46.0% to 46.2%,9/25/2021 12:00:00 AM,$0.14,$0.15,$0.10,$0.12,2509
46.3% to 46.5%,9/25/2021 12:00:00 AM,$0.06,$0.07,$0.05,$0.07,1365
46.9% to 47.1%,9/25/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,3038
47.2% to 47.4%,9/25/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,528
45.4% to 45.6%,9/25/2021 12:00:00 AM,$0.28,$0.30,$0.24,$0.29,2816
47.5% or higher,9/25/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,301
45.7% to 45.9%,9/26/2021 12:00:00 AM,$0.28,$0.30,$0.25,$0.30,2545
46.6% to 46.8%,9/26/2021 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1319
45.3% or lower,9/26/2021 12:00:00 AM,$0.31,$0.32,$0.26,$0.27,4967
46.0% to 46.2%,9/26/2021 12:00:00 AM,$0.12,$0.15,$0.11,$0.13,2849
46.3% to 46.5%,9/26/2021 12:00:00 AM,$0.07,$0.08,$0.05,$0.06,2188
46.9% to 47.1%,9/26/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3187
47.2% to 47.4%,9/26/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,430
45.4% to 45.6%,9/26/2021 12:00:00 AM,$0.29,$0.30,$0.26,$0.29,1409
47.5% or higher,9/26/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
45.7% to 45.9%,9/27/2021 12:00:00 AM,$0.30,$0.30,$0.05,$0.05,31578
46.6% to 46.8%,9/27/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,10532
45.3% or lower,9/27/2021 12:00:00 AM,$0.27,$0.73,$0.26,$0.69,32882
46.0% to 46.2%,9/27/2021 12:00:00 AM,$0.13,$0.15,$0.01,$0.02,22706
46.3% to 46.5%,9/27/2021 12:00:00 AM,$0.06,$0.07,$0.01,$0.01,17727
46.9% to 47.1%,9/27/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6392
47.2% to 47.4%,9/27/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2026
45.4% to 45.6%,9/27/2021 12:00:00 AM,$0.29,$0.52,$0.21,$0.29,25430
47.5% or higher,9/27/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,251
45.7% to 45.9%,9/28/2021 12:00:00 AM,$0.05,$0.18,$0.01,$0.01,27403
46.6% to 46.8%,9/28/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20
45.3% or lower,9/28/2021 12:00:00 AM,$0.69,$0.99,$0.56,$0.99,44482
46.0% to 46.2%,9/28/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,4132
46.3% to 46.5%,9/28/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,560
46.9% to 47.1%,9/28/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,205
47.2% to 47.4%,9/28/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
45.4% to 45.6%,9/28/2021 12:00:00 AM,$0.29,$0.40,$0.01,$0.01,36516
47.5% or higher,9/28/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
45.7% to 45.9%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,80
46.6% to 46.8%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,80
45.3% or lower,9/29/2021 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,3308
46.0% to 46.2%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,122
46.3% to 46.5%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,80
46.9% to 47.1%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,80
47.2% to 47.4%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,75
45.4% to 45.6%,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1003
47.5% or higher,9/29/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
