ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.1% to 40.3%,5/21/2022 12:00:00 AM,$0.23,$0.23,$0.20,$0.20,361
40.7% to 40.9%,5/21/2022 12:00:00 AM,$0.21,$0.25,$0.21,$0.24,525
40.0% or lower,5/21/2022 12:00:00 AM,$0.17,$0.17,$0.14,$0.14,234
40.4% to 40.6%,5/21/2022 12:00:00 AM,$0.24,$0.24,$0.20,$0.21,252
41.0% to 41.2%,5/21/2022 12:00:00 AM,$0.16,$0.16,$0.13,$0.13,140
41.6% to 41.8%,5/21/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,323
42.2% or higher,5/21/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,131
41.3% to 41.5%,5/21/2022 12:00:00 AM,$0.08,$0.09,$0.04,$0.09,508
41.9% to 42.1%,5/21/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,156
40.1% to 40.3%,5/22/2022 12:00:00 AM,$0.20,$0.20,$0.06,$0.06,320
40.7% to 40.9%,5/22/2022 12:00:00 AM,$0.24,$0.24,$0.19,$0.24,252
40.0% or lower,5/22/2022 12:00:00 AM,$0.14,$0.14,$0.05,$0.09,377
40.4% to 40.6%,5/22/2022 12:00:00 AM,$0.21,$0.24,$0.20,$0.21,199
41.0% to 41.2%,5/22/2022 12:00:00 AM,$0.13,$0.16,$0.13,$0.16,436
41.6% to 41.8%,5/22/2022 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,205
42.2% or higher,5/22/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,312
41.3% to 41.5%,5/22/2022 12:00:00 AM,$0.09,$0.10,$0.08,$0.10,81
41.9% to 42.1%,5/22/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,460
40.1% to 40.3%,5/23/2022 12:00:00 AM,$0.06,$0.16,$0.06,$0.16,526
40.7% to 40.9%,5/23/2022 12:00:00 AM,$0.24,$0.24,$0.16,$0.23,113
40.0% or lower,5/23/2022 12:00:00 AM,$0.09,$0.10,$0.05,$0.07,1418
40.4% to 40.6%,5/23/2022 12:00:00 AM,$0.21,$0.24,$0.10,$0.20,291
41.0% to 41.2%,5/23/2022 12:00:00 AM,$0.16,$0.20,$0.12,$0.19,863
41.6% to 41.8%,5/23/2022 12:00:00 AM,$0.05,$0.09,$0.04,$0.04,514
42.2% or higher,5/23/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,439
41.3% to 41.5%,5/23/2022 12:00:00 AM,$0.10,$0.21,$0.10,$0.14,602
41.9% to 42.1%,5/23/2022 12:00:00 AM,$0.01,$0.08,$0.01,$0.03,347
40.1% to 40.3%,5/24/2022 12:00:00 AM,$0.16,$0.49,$0.03,$0.36,2317
40.7% to 40.9%,5/24/2022 12:00:00 AM,$0.23,$0.23,$0.08,$0.15,1193
40.0% or lower,5/24/2022 12:00:00 AM,$0.07,$0.15,$0.03,$0.12,3548
40.4% to 40.6%,5/24/2022 12:00:00 AM,$0.20,$0.34,$0.09,$0.33,1721
