ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
42.8% to 43.0%,12/11/2021 12:00:00 AM,$0.17,$0.25,$0.17,$0.23,2063
41.3% to 41.5%,12/11/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,2821
41.2% or lower,12/11/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2246
43.1% to 43.3%,12/11/2021 12:00:00 AM,$0.09,$0.19,$0.09,$0.15,2047
41.6% to 41.8%,12/11/2021 12:00:00 AM,$0.08,$0.08,$0.03,$0.04,2655
42.2% to 42.4%,12/11/2021 12:00:00 AM,$0.21,$0.22,$0.16,$0.21,1145
43.4% or higher,12/11/2021 12:00:00 AM,$0.07,$0.10,$0.06,$0.09,2345
41.9% to 42.1%,12/11/2021 12:00:00 AM,$0.19,$0.20,$0.04,$0.10,1912
42.5% to 42.7%,12/11/2021 12:00:00 AM,$0.25,$0.26,$0.06,$0.21,1650
42.8% to 43.0%,12/12/2021 12:00:00 AM,$0.23,$0.25,$0.22,$0.22,522
41.3% to 41.5%,12/12/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,1591
41.2% or lower,12/12/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1062
43.1% to 43.3%,12/12/2021 12:00:00 AM,$0.15,$0.18,$0.15,$0.16,132
41.6% to 41.8%,12/12/2021 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,363
42.2% to 42.4%,12/12/2021 12:00:00 AM,$0.21,$0.21,$0.17,$0.17,261
43.4% or higher,12/12/2021 12:00:00 AM,$0.09,$0.15,$0.07,$0.15,297
41.9% to 42.1%,12/12/2021 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,651
42.5% to 42.7%,12/12/2021 12:00:00 AM,$0.21,$0.21,$0.15,$0.15,267
42.8% to 43.0%,12/13/2021 12:00:00 AM,$0.22,$0.26,$0.22,$0.25,1484
41.3% to 41.5%,12/13/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1359
41.2% or lower,12/13/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1100
43.1% to 43.3%,12/13/2021 12:00:00 AM,$0.16,$0.28,$0.15,$0.26,2592
41.6% to 41.8%,12/13/2021 12:00:00 AM,$0.04,$0.05,$0.01,$0.01,4296
42.2% to 42.4%,12/13/2021 12:00:00 AM,$0.17,$0.20,$0.04,$0.04,3005
43.4% or higher,12/13/2021 12:00:00 AM,$0.15,$0.26,$0.08,$0.21,1677
41.9% to 42.1%,12/13/2021 12:00:00 AM,$0.11,$0.12,$0.02,$0.02,4991
42.5% to 42.7%,12/13/2021 12:00:00 AM,$0.15,$0.22,$0.05,$0.05,3396
42.8% to 43.0%,12/14/2021 12:00:00 AM,$0.25,$0.32,$0.25,$0.30,1966
41.3% to 41.5%,12/14/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3529
41.2% or lower,12/14/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,606
43.1% to 43.3%,12/14/2021 12:00:00 AM,$0.26,$0.32,$0.15,$0.24,2814
41.6% to 41.8%,12/14/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,3091
42.2% to 42.4%,12/14/2021 12:00:00 AM,$0.04,$0.10,$0.04,$0.06,1689
43.4% or higher,12/14/2021 12:00:00 AM,$0.21,$0.25,$0.11,$0.12,2408
41.9% to 42.1%,12/14/2021 12:00:00 AM,$0.02,$0.05,$0.02,$0.05,1908
42.5% to 42.7%,12/14/2021 12:00:00 AM,$0.05,$0.27,$0.05,$0.16,1671
42.8% to 43.0%,12/15/2021 12:00:00 AM,$0.30,$0.31,$0.01,$0.01,9843
41.3% to 41.5%,12/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,150
41.2% or lower,12/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,150
43.1% to 43.3%,12/15/2021 12:00:00 AM,$0.24,$0.35,$0.03,$0.05,11903
41.6% to 41.8%,12/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,413
42.2% to 42.4%,12/15/2021 12:00:00 AM,$0.06,$0.08,$0.01,$0.01,2557
43.4% or higher,12/15/2021 12:00:00 AM,$0.12,$0.96,$0.08,$0.93,13823
41.9% to 42.1%,12/15/2021 12:00:00 AM,$0.05,$0.05,$0.01,$0.01,2677
42.5% to 42.7%,12/15/2021 12:00:00 AM,$0.16,$0.23,$0.01,$0.01,5010
42.8% to 43.0%,12/16/2021 12:00:00 AM,$0.01,$0.07,$0.01,$0.01,6209
41.3% to 41.5%,12/16/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.2% or lower,12/16/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
43.1% to 43.3%,12/16/2021 12:00:00 AM,$0.05,$0.15,$0.01,$0.01,10659
41.6% to 41.8%,12/16/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
42.2% to 42.4%,12/16/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,280
43.4% or higher,12/16/2021 12:00:00 AM,$0.93,$0.99,$0.78,$0.99,13091
41.9% to 42.1%,12/16/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.5% to 42.7%,12/16/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1402
42.8% to 43.0%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
41.3% to 41.5%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
41.2% or lower,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.1% to 43.3%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2389
41.6% to 41.8%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.2% to 42.4%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
43.4% or higher,12/17/2021 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,2366
41.9% to 42.1%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.5% to 42.7%,12/17/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
