ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
44.1% to 44.3%,9/9/2021 12:00:00 AM,$0.14,$0.17,$0.11,$0.11,15515
45.0% to 45.2%,9/9/2021 12:00:00 AM,$0.11,$0.15,$0.11,$0.13,13751
43.7% or lower,9/9/2021 12:00:00 AM,$0.17,$0.21,$0.07,$0.09,39966
44.4% to 44.6%,9/9/2021 12:00:00 AM,$0.15,$0.19,$0.11,$0.13,12015
44.7% to 44.9%,9/9/2021 12:00:00 AM,$0.14,$0.16,$0.12,$0.13,11908
45.3% to 45.5%,9/9/2021 12:00:00 AM,$0.08,$0.15,$0.08,$0.13,15034
45.6% to 45.8%,9/9/2021 12:00:00 AM,$0.08,$0.15,$0.07,$0.11,20050
43.8% to 44.0%,9/9/2021 12:00:00 AM,$0.10,$0.13,$0.07,$0.08,18449
45.9% or higher,9/9/2021 12:00:00 AM,$0.11,$0.23,$0.08,$0.15,31944
44.1% to 44.3%,9/10/2021 12:00:00 AM,$0.11,$0.11,$0.02,$0.04,25085
45.0% to 45.2%,9/10/2021 12:00:00 AM,$0.13,$0.18,$0.07,$0.10,23289
43.7% or lower,9/10/2021 12:00:00 AM,$0.09,$0.09,$0.01,$0.04,32681
44.4% to 44.6%,9/10/2021 12:00:00 AM,$0.13,$0.13,$0.02,$0.04,26171
44.7% to 44.9%,9/10/2021 12:00:00 AM,$0.13,$0.15,$0.05,$0.06,19385
45.3% to 45.5%,9/10/2021 12:00:00 AM,$0.13,$0.24,$0.09,$0.13,19119
45.6% to 45.8%,9/10/2021 12:00:00 AM,$0.11,$0.24,$0.10,$0.20,19968
43.8% to 44.0%,9/10/2021 12:00:00 AM,$0.08,$0.08,$0.01,$0.03,31138
45.9% or higher,9/10/2021 12:00:00 AM,$0.15,$0.50,$0.15,$0.44,48606
44.1% to 44.3%,9/11/2021 12:00:00 AM,$0.04,$0.04,$0.02,$0.02,4700
45.0% to 45.2%,9/11/2021 12:00:00 AM,$0.10,$0.10,$0.07,$0.08,5132
43.7% or lower,9/11/2021 12:00:00 AM,$0.04,$0.04,$0.01,$0.02,10704
44.4% to 44.6%,9/11/2021 12:00:00 AM,$0.04,$0.05,$0.02,$0.03,8699
44.7% to 44.9%,9/11/2021 12:00:00 AM,$0.06,$0.08,$0.03,$0.04,10516
45.3% to 45.5%,9/11/2021 12:00:00 AM,$0.13,$0.15,$0.11,$0.14,5617
45.6% to 45.8%,9/11/2021 12:00:00 AM,$0.20,$0.24,$0.17,$0.21,5425
43.8% to 44.0%,9/11/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,4987
45.9% or higher,9/11/2021 12:00:00 AM,$0.44,$0.54,$0.44,$0.53,7729
44.1% to 44.3%,9/12/2021 12:00:00 AM,$0.02,$0.04,$0.01,$0.02,5738
45.0% to 45.2%,9/12/2021 12:00:00 AM,$0.08,$0.10,$0.07,$0.08,5166
43.7% or lower,9/12/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.03,8075
44.4% to 44.6%,9/12/2021 12:00:00 AM,$0.03,$0.05,$0.03,$0.03,3668
44.7% to 44.9%,9/12/2021 12:00:00 AM,$0.04,$0.08,$0.04,$0.05,4685
45.3% to 45.5%,9/12/2021 12:00:00 AM,$0.14,$0.16,$0.10,$0.14,4371
45.6% to 45.8%,9/12/2021 12:00:00 AM,$0.21,$0.23,$0.17,$0.23,4476
43.8% to 44.0%,9/12/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,4490
45.9% or higher,9/12/2021 12:00:00 AM,$0.53,$0.53,$0.40,$0.50,8116
44.1% to 44.3%,9/13/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,2920
45.0% to 45.2%,9/13/2021 12:00:00 AM,$0.08,$0.09,$0.01,$0.01,31288
43.7% or lower,9/13/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,5279
44.4% to 44.6%,9/13/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,10488
44.7% to 44.9%,9/13/2021 12:00:00 AM,$0.05,$0.06,$0.01,$0.01,12737
45.3% to 45.5%,9/13/2021 12:00:00 AM,$0.14,$0.15,$0.02,$0.03,30570
45.6% to 45.8%,9/13/2021 12:00:00 AM,$0.23,$0.26,$0.07,$0.13,27347
43.8% to 44.0%,9/13/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3613
45.9% or higher,9/13/2021 12:00:00 AM,$0.50,$0.87,$0.48,$0.86,43628
44.1% to 44.3%,9/14/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1300
45.0% to 45.2%,9/14/2021 12:00:00 AM,$0.01,$0.07,$0.01,$0.01,25709
43.7% or lower,9/14/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1950
44.4% to 44.6%,9/14/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,12812
44.7% to 44.9%,9/14/2021 12:00:00 AM,$0.01,$0.04,$0.01,$0.01,13600
45.3% to 45.5%,9/14/2021 12:00:00 AM,$0.03,$0.19,$0.01,$0.01,35341
45.6% to 45.8%,9/14/2021 12:00:00 AM,$0.13,$0.74,$0.01,$0.01,41758
43.8% to 44.0%,9/14/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1286
45.9% or higher,9/14/2021 12:00:00 AM,$0.86,$0.99,$0.15,$0.99,52387
44.1% to 44.3%,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
45.0% to 45.2%,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
43.7% or lower,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,335
44.4% to 44.6%,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
44.7% to 44.9%,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
45.3% to 45.5%,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
45.6% to 45.8%,9/15/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1624
43.8% to 44.0%,9/15/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
45.9% or higher,9/15/2021 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,2519
