ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.4% to 41.6%,3/19/2022 12:00:00 AM,$0.08,$0.13,$0.06,$0.11,2107
39.9% to 40.1%,3/19/2022 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,1084
39.8% or lower,3/19/2022 12:00:00 AM,$0.10,$0.13,$0.09,$0.10,1303
41.7% to 41.9%,3/19/2022 12:00:00 AM,$0.07,$0.10,$0.07,$0.09,1638
40.2% to 40.4%,3/19/2022 12:00:00 AM,$0.18,$0.19,$0.16,$0.17,502
40.8% to 41.0%,3/19/2022 12:00:00 AM,$0.16,$0.17,$0.15,$0.15,611
42.0% or higher,3/19/2022 12:00:00 AM,$0.07,$0.11,$0.07,$0.08,2501
40.5% to 40.7%,3/19/2022 12:00:00 AM,$0.15,$0.18,$0.15,$0.16,400
41.1% to 41.3%,3/19/2022 12:00:00 AM,$0.11,$0.13,$0.10,$0.12,911
41.4% to 41.6%,3/20/2022 12:00:00 AM,$0.11,$0.19,$0.11,$0.16,1381
39.9% to 40.1%,3/20/2022 12:00:00 AM,$0.10,$0.10,$0.02,$0.05,1194
39.8% or lower,3/20/2022 12:00:00 AM,$0.10,$0.10,$0.04,$0.05,1013
41.7% to 41.9%,3/20/2022 12:00:00 AM,$0.09,$0.15,$0.09,$0.14,1205
40.2% to 40.4%,3/20/2022 12:00:00 AM,$0.17,$0.17,$0.07,$0.08,1072
40.8% to 41.0%,3/20/2022 12:00:00 AM,$0.15,$0.19,$0.14,$0.18,1022
42.0% or higher,3/20/2022 12:00:00 AM,$0.08,$0.12,$0.08,$0.10,1458
40.5% to 40.7%,3/20/2022 12:00:00 AM,$0.16,$0.16,$0.11,$0.14,744
41.1% to 41.3%,3/20/2022 12:00:00 AM,$0.12,$0.22,$0.12,$0.18,839
41.4% to 41.6%,3/21/2022 12:00:00 AM,$0.16,$0.20,$0.15,$0.19,1123
39.9% to 40.1%,3/21/2022 12:00:00 AM,$0.05,$0.05,$0.03,$0.04,1176
39.8% or lower,3/21/2022 12:00:00 AM,$0.05,$0.07,$0.02,$0.03,1794
41.7% to 41.9%,3/21/2022 12:00:00 AM,$0.14,$0.19,$0.13,$0.17,1158
40.2% to 40.4%,3/21/2022 12:00:00 AM,$0.08,$0.10,$0.04,$0.06,850
40.8% to 41.0%,3/21/2022 12:00:00 AM,$0.18,$0.18,$0.10,$0.12,1626
42.0% or higher,3/21/2022 12:00:00 AM,$0.10,$0.21,$0.10,$0.13,1768
40.5% to 40.7%,3/21/2022 12:00:00 AM,$0.14,$0.14,$0.07,$0.07,1426
41.1% to 41.3%,3/21/2022 12:00:00 AM,$0.18,$0.21,$0.13,$0.19,1517
41.4% to 41.6%,3/22/2022 12:00:00 AM,$0.19,$0.26,$0.07,$0.12,3477
39.9% to 40.1%,3/22/2022 12:00:00 AM,$0.04,$0.05,$0.01,$0.02,3933
39.8% or lower,3/22/2022 12:00:00 AM,$0.03,$0.04,$0.01,$0.02,3105
41.7% to 41.9%,3/22/2022 12:00:00 AM,$0.17,$0.23,$0.03,$0.07,2277
40.2% to 40.4%,3/22/2022 12:00:00 AM,$0.06,$0.13,$0.02,$0.08,5462
40.8% to 41.0%,3/22/2022 12:00:00 AM,$0.12,$0.22,$0.08,$0.22,2227
42.0% or higher,3/22/2022 12:00:00 AM,$0.13,$0.20,$0.01,$0.02,8042
40.5% to 40.7%,3/22/2022 12:00:00 AM,$0.07,$0.19,$0.05,$0.18,3318
41.1% to 41.3%,3/22/2022 12:00:00 AM,$0.19,$0.29,$0.16,$0.23,3434
41.4% to 41.6%,3/23/2022 12:00:00 AM,$0.12,$0.18,$0.01,$0.15,8617
39.9% to 40.1%,3/23/2022 12:00:00 AM,$0.02,$0.25,$0.01,$0.01,4786
39.8% or lower,3/23/2022 12:00:00 AM,$0.02,$0.16,$0.01,$0.01,4833
41.7% to 41.9%,3/23/2022 12:00:00 AM,$0.07,$0.07,$0.01,$0.02,7204
40.2% to 40.4%,3/23/2022 12:00:00 AM,$0.08,$0.26,$0.03,$0.10,5499
40.8% to 41.0%,3/23/2022 12:00:00 AM,$0.22,$0.35,$0.14,$0.32,3122
42.0% or higher,3/23/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,5794
40.5% to 40.7%,3/23/2022 12:00:00 AM,$0.18,$0.39,$0.07,$0.16,6084
41.1% to 41.3%,3/23/2022 12:00:00 AM,$0.23,$0.40,$0.03,$0.36,6328
41.4% to 41.6%,3/24/2022 12:00:00 AM,$0.15,$0.16,$0.02,$0.05,11300
39.9% to 40.1%,3/24/2022 12:00:00 AM,$0.01,$0.05,$0.01,$0.01,3484
39.8% or lower,3/24/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1854
41.7% to 41.9%,3/24/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.01,7279
40.2% to 40.4%,3/24/2022 12:00:00 AM,$0.10,$0.10,$0.01,$0.01,8613
40.8% to 41.0%,3/24/2022 12:00:00 AM,$0.32,$0.70,$0.27,$0.61,10005
42.0% or higher,3/24/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1433
40.5% to 40.7%,3/24/2022 12:00:00 AM,$0.16,$0.25,$0.03,$0.06,10547
41.1% to 41.3%,3/24/2022 12:00:00 AM,$0.36,$0.40,$0.20,$0.32,9136
41.4% to 41.6%,3/25/2022 12:00:00 AM,$0.05,$0.10,$0.01,$0.01,5272
39.9% to 40.1%,3/25/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.8% or lower,3/25/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
