ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.4% to 40.6%,2/18/2022 12:00:00 AM,$0.05,$0.07,$0.03,$0.05,4697
41.3% to 41.5%,2/18/2022 12:00:00 AM,$0.19,$0.21,$0.18,$0.19,3170
40.3% or lower,2/18/2022 12:00:00 AM,$0.05,$0.06,$0.02,$0.04,7135
40.7% to 40.9%,2/18/2022 12:00:00 AM,$0.11,$0.14,$0.10,$0.10,5975
41.0% to 41.2%,2/18/2022 12:00:00 AM,$0.21,$0.21,$0.18,$0.18,4798
41.6% to 41.8%,2/18/2022 12:00:00 AM,$0.20,$0.25,$0.19,$0.23,3410
41.9% to 42.1%,2/18/2022 12:00:00 AM,$0.15,$0.20,$0.15,$0.16,2801
42.2% to 42.4%,2/18/2022 12:00:00 AM,$0.09,$0.13,$0.08,$0.09,5118
42.5% or higher,2/18/2022 12:00:00 AM,$0.05,$0.08,$0.05,$0.07,5772
40.4% to 40.6%,2/19/2022 12:00:00 AM,$0.05,$0.05,$0.02,$0.02,2025
41.3% to 41.5%,2/19/2022 12:00:00 AM,$0.19,$0.20,$0.19,$0.20,811
40.3% or lower,2/19/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,1898
40.7% to 40.9%,2/19/2022 12:00:00 AM,$0.10,$0.11,$0.08,$0.09,1233
41.0% to 41.2%,2/19/2022 12:00:00 AM,$0.18,$0.19,$0.18,$0.18,507
41.6% to 41.8%,2/19/2022 12:00:00 AM,$0.23,$0.24,$0.22,$0.23,750
41.9% to 42.1%,2/19/2022 12:00:00 AM,$0.16,$0.18,$0.16,$0.16,1624
42.2% to 42.4%,2/19/2022 12:00:00 AM,$0.09,$0.10,$0.08,$0.09,1195
42.5% or higher,2/19/2022 12:00:00 AM,$0.07,$0.07,$0.04,$0.04,2369
40.4% to 40.6%,2/20/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.01,5512
41.3% to 41.5%,2/20/2022 12:00:00 AM,$0.20,$0.21,$0.18,$0.18,1819
40.3% or lower,2/20/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,6366
40.7% to 40.9%,2/20/2022 12:00:00 AM,$0.09,$0.09,$0.04,$0.04,7667
41.0% to 41.2%,2/20/2022 12:00:00 AM,$0.18,$0.19,$0.12,$0.12,5685
41.6% to 41.8%,2/20/2022 12:00:00 AM,$0.23,$0.24,$0.21,$0.23,1308
41.9% to 42.1%,2/20/2022 12:00:00 AM,$0.16,$0.26,$0.16,$0.25,3044
42.2% to 42.4%,2/20/2022 12:00:00 AM,$0.09,$0.17,$0.09,$0.12,4557
42.5% or higher,2/20/2022 12:00:00 AM,$0.04,$0.12,$0.04,$0.10,5074
40.4% to 40.6%,2/21/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5529
41.3% to 41.5%,2/21/2022 12:00:00 AM,$0.18,$0.23,$0.17,$0.19,8267
40.3% or lower,2/21/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3231
40.7% to 40.9%,2/21/2022 12:00:00 AM,$0.04,$0.05,$0.01,$0.02,9340
41.0% to 41.2%,2/21/2022 12:00:00 AM,$0.12,$0.14,$0.04,$0.07,8828
41.6% to 41.8%,2/21/2022 12:00:00 AM,$0.23,$0.29,$0.22,$0.26,4176
41.9% to 42.1%,2/21/2022 12:00:00 AM,$0.25,$0.29,$0.20,$0.28,4414
42.2% to 42.4%,2/21/2022 12:00:00 AM,$0.12,$0.22,$0.12,$0.18,4593
42.5% or higher,2/21/2022 12:00:00 AM,$0.10,$0.20,$0.08,$0.12,9168
40.4% to 40.6%,2/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,255
41.3% to 41.5%,2/22/2022 12:00:00 AM,$0.19,$0.19,$0.01,$0.02,18690
40.3% or lower,2/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,222
40.7% to 40.9%,2/22/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,4455
41.0% to 41.2%,2/22/2022 12:00:00 AM,$0.07,$0.07,$0.01,$0.01,11816
41.6% to 41.8%,2/22/2022 12:00:00 AM,$0.26,$0.45,$0.03,$0.05,18002
41.9% to 42.1%,2/22/2022 12:00:00 AM,$0.28,$0.28,$0.11,$0.16,11149
42.2% to 42.4%,2/22/2022 12:00:00 AM,$0.18,$0.50,$0.16,$0.46,10816
42.5% or higher,2/22/2022 12:00:00 AM,$0.12,$0.59,$0.07,$0.44,12241
40.4% to 40.6%,2/23/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
41.3% to 41.5%,2/23/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,6336
40.3% or lower,2/23/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20
40.7% to 40.9%,2/23/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,389
41.0% to 41.2%,2/23/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,79
41.6% to 41.8%,2/23/2022 12:00:00 AM,$0.05,$0.07,$0.01,$0.01,12755
41.9% to 42.1%,2/23/2022 12:00:00 AM,$0.16,$0.35,$0.01,$0.01,33451
42.2% to 42.4%,2/23/2022 12:00:00 AM,$0.46,$0.99,$0.10,$0.99,40957
42.5% or higher,2/23/2022 12:00:00 AM,$0.44,$0.90,$0.01,$0.01,59121
40.4% to 40.6%,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.3% to 41.5%,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
40.3% or lower,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.7% to 40.9%,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.0% to 41.2%,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.6% to 41.8%,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.9% to 42.1%,2/24/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
