ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.5% to 40.7%,4/15/2022 12:00:00 AM,$0.09,$0.11,$0.06,$0.08,2000
41.4% to 41.6%,4/15/2022 12:00:00 AM,$0.22,$0.22,$0.19,$0.21,1702
40.4% or lower,4/15/2022 12:00:00 AM,$0.07,$0.09,$0.04,$0.05,4167
40.8% to 41.0%,4/15/2022 12:00:00 AM,$0.16,$0.24,$0.15,$0.17,2634
41.1% to 41.3%,4/15/2022 12:00:00 AM,$0.24,$0.27,$0.22,$0.23,2080
41.7% to 41.9%,4/15/2022 12:00:00 AM,$0.16,$0.21,$0.16,$0.19,1247
42.0% to 42.2%,4/15/2022 12:00:00 AM,$0.08,$0.12,$0.08,$0.10,1263
42.3% to 42.5%,4/15/2022 12:00:00 AM,$0.06,$0.06,$0.03,$0.05,2708
42.6% or higher,4/15/2022 12:00:00 AM,$0.02,$0.04,$0.02,$0.02,4618
40.5% to 40.7%,4/16/2022 12:00:00 AM,$0.08,$0.12,$0.07,$0.07,1566
41.4% to 41.6%,4/16/2022 12:00:00 AM,$0.21,$0.24,$0.20,$0.23,979
40.4% or lower,4/16/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,2180
40.8% to 41.0%,4/16/2022 12:00:00 AM,$0.17,$0.19,$0.16,$0.16,614
41.1% to 41.3%,4/16/2022 12:00:00 AM,$0.23,$0.26,$0.23,$0.24,941
41.7% to 41.9%,4/16/2022 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,750
42.0% to 42.2%,4/16/2022 12:00:00 AM,$0.10,$0.11,$0.08,$0.09,1801
42.3% to 42.5%,4/16/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1314
42.6% or higher,4/16/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,3879
40.5% to 40.7%,4/17/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.06,1674
41.4% to 41.6%,4/17/2022 12:00:00 AM,$0.23,$0.25,$0.22,$0.23,971
40.4% or lower,4/17/2022 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,2749
40.8% to 41.0%,4/17/2022 12:00:00 AM,$0.16,$0.17,$0.14,$0.14,655
41.1% to 41.3%,4/17/2022 12:00:00 AM,$0.24,$0.25,$0.23,$0.24,827
41.7% to 41.9%,4/17/2022 12:00:00 AM,$0.19,$0.20,$0.18,$0.20,809
42.0% to 42.2%,4/17/2022 12:00:00 AM,$0.09,$0.13,$0.09,$0.13,1485
42.3% to 42.5%,4/17/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,2307
42.6% or higher,4/17/2022 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,376
40.5% to 40.7%,4/18/2022 12:00:00 AM,$0.06,$0.07,$0.02,$0.02,13253
41.4% to 41.6%,4/18/2022 12:00:00 AM,$0.23,$0.23,$0.17,$0.23,3110
40.4% or lower,4/18/2022 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,14660
40.8% to 41.0%,4/18/2022 12:00:00 AM,$0.14,$0.15,$0.03,$0.07,7306
41.1% to 41.3%,4/18/2022 12:00:00 AM,$0.24,$0.25,$0.07,$0.15,6966
41.7% to 41.9%,4/18/2022 12:00:00 AM,$0.20,$0.28,$0.19,$0.25,4921
42.0% to 42.2%,4/18/2022 12:00:00 AM,$0.13,$0.29,$0.12,$0.22,5139
42.3% to 42.5%,4/18/2022 12:00:00 AM,$0.05,$0.16,$0.04,$0.10,6065
42.6% or higher,4/18/2022 12:00:00 AM,$0.02,$0.12,$0.02,$0.06,9141
40.5% to 40.7%,4/19/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,8855
41.4% to 41.6%,4/19/2022 12:00:00 AM,$0.23,$0.30,$0.07,$0.07,12134
40.4% or lower,4/19/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3264
40.8% to 41.0%,4/19/2022 12:00:00 AM,$0.07,$0.08,$0.01,$0.01,13254
