ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.5% to 41.7%,3/11/2022 12:00:00 AM,$0.16,$0.17,$0.02,$0.03,7991
42.4% to 42.6%,3/11/2022 12:00:00 AM,$0.16,$0.22,$0.13,$0.18,7623
41.4% or lower,3/11/2022 12:00:00 AM,$0.19,$0.24,$0.02,$0.03,13061
41.8% to 42.0%,3/11/2022 12:00:00 AM,$0.19,$0.19,$0.04,$0.06,7248
42.1% to 42.3%,3/11/2022 12:00:00 AM,$0.19,$0.19,$0.09,$0.11,8328
42.7% to 42.9%,3/11/2022 12:00:00 AM,$0.08,$0.42,$0.08,$0.23,12790
43.0% to 43.2%,3/11/2022 12:00:00 AM,$0.05,$0.19,$0.04,$0.19,5657
43.3% to 43.5%,3/11/2022 12:00:00 AM,$0.03,$0.15,$0.03,$0.13,7032
43.6% or higher,3/11/2022 12:00:00 AM,$0.03,$0.26,$0.03,$0.14,13940
41.5% to 41.7%,3/12/2022 12:00:00 AM,$0.03,$0.06,$0.02,$0.04,2921
42.4% to 42.6%,3/12/2022 12:00:00 AM,$0.18,$0.19,$0.17,$0.18,1078
41.4% or lower,3/12/2022 12:00:00 AM,$0.03,$0.07,$0.02,$0.04,3658
41.8% to 42.0%,3/12/2022 12:00:00 AM,$0.06,$0.09,$0.06,$0.08,2014
42.1% to 42.3%,3/12/2022 12:00:00 AM,$0.11,$0.13,$0.11,$0.13,2085
42.7% to 42.9%,3/12/2022 12:00:00 AM,$0.23,$0.25,$0.21,$0.23,2023
43.0% to 43.2%,3/12/2022 12:00:00 AM,$0.19,$0.20,$0.16,$0.16,1667
43.3% to 43.5%,3/12/2022 12:00:00 AM,$0.13,$0.14,$0.10,$0.10,2292
43.6% or higher,3/12/2022 12:00:00 AM,$0.14,$0.15,$0.06,$0.06,2989
41.5% to 41.7%,3/13/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,6036
42.4% to 42.6%,3/13/2022 12:00:00 AM,$0.18,$0.18,$0.13,$0.14,4632
41.4% or lower,3/13/2022 12:00:00 AM,$0.04,$0.05,$0.02,$0.02,10373
41.8% to 42.0%,3/13/2022 12:00:00 AM,$0.08,$0.08,$0.03,$0.03,8175
42.1% to 42.3%,3/13/2022 12:00:00 AM,$0.13,$0.14,$0.07,$0.08,5769
42.7% to 42.9%,3/13/2022 12:00:00 AM,$0.23,$0.24,$0.20,$0.20,3789
43.0% to 43.2%,3/13/2022 12:00:00 AM,$0.16,$0.25,$0.16,$0.25,3427
43.3% to 43.5%,3/13/2022 12:00:00 AM,$0.10,$0.21,$0.09,$0.20,3792
43.6% or higher,3/13/2022 12:00:00 AM,$0.06,$0.17,$0.06,$0.13,8026
41.5% to 41.7%,3/14/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,11270
42.4% to 42.6%,3/14/2022 12:00:00 AM,$0.14,$0.25,$0.13,$0.19,4001
41.4% or lower,3/14/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,7395
41.8% to 42.0%,3/14/2022 12:00:00 AM,$0.03,$0.06,$0.02,$0.02,6212
42.1% to 42.3%,3/14/2022 12:00:00 AM,$0.08,$0.14,$0.07,$0.07,4828
42.7% to 42.9%,3/14/2022 12:00:00 AM,$0.20,$0.46,$0.20,$0.34,3580
43.0% to 43.2%,3/14/2022 12:00:00 AM,$0.25,$0.26,$0.20,$0.22,3516
43.3% to 43.5%,3/14/2022 12:00:00 AM,$0.20,$0.20,$0.09,$0.13,4269
43.6% or higher,3/14/2022 12:00:00 AM,$0.13,$0.15,$0.03,$0.08,7278
41.5% to 41.7%,3/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1789
42.4% to 42.6%,3/15/2022 12:00:00 AM,$0.19,$0.28,$0.04,$0.26,12443
41.4% or lower,3/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
41.8% to 42.0%,3/15/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,12349
42.1% to 42.3%,3/15/2022 12:00:00 AM,$0.07,$0.12,$0.02,$0.07,14853
42.7% to 42.9%,3/15/2022 12:00:00 AM,$0.34,$0.49,$0.25,$0.48,13557
43.0% to 43.2%,3/15/2022 12:00:00 AM,$0.22,$0.45,$0.17,$0.19,15254
43.3% to 43.5%,3/15/2022 12:00:00 AM,$0.13,$0.34,$0.04,$0.05,9813
43.6% or higher,3/15/2022 12:00:00 AM,$0.08,$0.12,$0.01,$0.01,11702
41.5% to 41.7%,3/16/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6323
42.4% to 42.6%,3/16/2022 12:00:00 AM,$0.26,$0.99,$0.13,$0.99,49761
41.4% or lower,3/16/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2274
41.8% to 42.0%,3/16/2022 12:00:00 AM,$0.02,$0.05,$0.01,$0.01,10000
42.1% to 42.3%,3/16/2022 12:00:00 AM,$0.07,$0.18,$0.01,$0.01,33094
42.7% to 42.9%,3/16/2022 12:00:00 AM,$0.48,$0.75,$0.01,$0.01,57176
43.0% to 43.2%,3/16/2022 12:00:00 AM,$0.19,$0.27,$0.01,$0.01,23645
43.3% to 43.5%,3/16/2022 12:00:00 AM,$0.05,$0.08,$0.01,$0.01,11507
43.6% or higher,3/16/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,7242
41.5% to 41.7%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.4% to 42.6%,3/17/2022 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,1149
41.4% or lower,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.8% to 42.0%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.1% to 42.3%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,12
42.7% to 42.9%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1148
43.0% to 43.2%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
43.3% to 43.5%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
43.6% or higher,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,55
