ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
45.4% to 45.6%,9/16/2021 12:00:00 AM,$0.11,$0.22,$0.07,$0.22,23515
46.3% to 46.5%,9/16/2021 12:00:00 AM,$0.17,$0.19,$0.10,$0.10,14757
45.0% or lower,9/16/2021 12:00:00 AM,$0.12,$0.14,$0.03,$0.12,29895
45.7% to 45.9%,9/16/2021 12:00:00 AM,$0.13,$0.23,$0.12,$0.22,14915
46.0% to 46.2%,9/16/2021 12:00:00 AM,$0.15,$0.21,$0.14,$0.16,13291
46.6% to 46.8%,9/16/2021 12:00:00 AM,$0.14,$0.18,$0.03,$0.04,13988
46.9% to 47.1%,9/16/2021 12:00:00 AM,$0.11,$0.15,$0.03,$0.03,13802
45.1% to 45.3%,9/16/2021 12:00:00 AM,$0.09,$0.15,$0.03,$0.14,27143
47.2% or higher,9/16/2021 12:00:00 AM,$0.14,$0.17,$0.02,$0.03,27506
45.4% to 45.6%,9/17/2021 12:00:00 AM,$0.22,$0.32,$0.21,$0.26,8278
46.3% to 46.5%,9/17/2021 12:00:00 AM,$0.10,$0.12,$0.06,$0.08,10888
45.0% or lower,9/17/2021 12:00:00 AM,$0.12,$0.17,$0.10,$0.12,11730
45.7% to 45.9%,9/17/2021 12:00:00 AM,$0.22,$0.29,$0.22,$0.25,5343
46.0% to 46.2%,9/17/2021 12:00:00 AM,$0.16,$0.18,$0.10,$0.13,10551
46.6% to 46.8%,9/17/2021 12:00:00 AM,$0.04,$0.06,$0.02,$0.02,10705
46.9% to 47.1%,9/17/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,11971
45.1% to 45.3%,9/17/2021 12:00:00 AM,$0.14,$0.19,$0.13,$0.18,7294
47.2% or higher,9/17/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,13349
45.4% to 45.6%,9/18/2021 12:00:00 AM,$0.26,$0.29,$0.26,$0.29,1529
46.3% to 46.5%,9/18/2021 12:00:00 AM,$0.08,$0.08,$0.05,$0.06,2171
45.0% or lower,9/18/2021 12:00:00 AM,$0.12,$0.14,$0.10,$0.11,2371
45.7% to 45.9%,9/18/2021 12:00:00 AM,$0.25,$0.27,$0.22,$0.24,1756
46.0% to 46.2%,9/18/2021 12:00:00 AM,$0.13,$0.16,$0.12,$0.13,1717
46.6% to 46.8%,9/18/2021 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2331
46.9% to 47.1%,9/18/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1185
45.1% to 45.3%,9/18/2021 12:00:00 AM,$0.18,$0.18,$0.13,$0.14,1922
47.2% or higher,9/18/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,804
45.4% to 45.6%,9/19/2021 12:00:00 AM,$0.29,$0.30,$0.08,$0.13,12676
46.3% to 46.5%,9/19/2021 12:00:00 AM,$0.06,$0.21,$0.05,$0.20,9371
45.0% or lower,9/19/2021 12:00:00 AM,$0.11,$0.12,$0.01,$0.02,16633
45.7% to 45.9%,9/19/2021 12:00:00 AM,$0.24,$0.29,$0.14,$0.24,9240
46.0% to 46.2%,9/19/2021 12:00:00 AM,$0.13,$0.30,$0.11,$0.26,9602
46.6% to 46.8%,9/19/2021 12:00:00 AM,$0.02,$0.10,$0.02,$0.08,7448
46.9% to 47.1%,9/19/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,8361
45.1% to 45.3%,9/19/2021 12:00:00 AM,$0.14,$0.15,$0.03,$0.06,11001
