ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
43.0% to 43.2%,12/17/2021 12:00:00 AM,$0.14,$0.14,$0.06,$0.06,3394
43.9% to 44.1%,12/17/2021 12:00:00 AM,$0.21,$0.27,$0.20,$0.26,3093
42.6% or lower,12/17/2021 12:00:00 AM,$0.04,$0.06,$0.03,$0.04,6931
43.3% to 43.5%,12/17/2021 12:00:00 AM,$0.22,$0.22,$0.15,$0.15,2718
43.6% to 43.8%,12/17/2021 12:00:00 AM,$0.22,$0.22,$0.18,$0.18,2790
44.2% to 44.4%,12/17/2021 12:00:00 AM,$0.13,$0.24,$0.12,$0.20,3533
44.5% to 44.7%,12/17/2021 12:00:00 AM,$0.06,$0.11,$0.05,$0.08,5134
42.7% to 42.9%,12/17/2021 12:00:00 AM,$0.06,$0.06,$0.03,$0.03,3443
44.8% or higher,12/17/2021 12:00:00 AM,$0.05,$0.07,$0.03,$0.06,8310
43.0% to 43.2%,12/18/2021 12:00:00 AM,$0.06,$0.08,$0.05,$0.06,3205
43.9% to 44.1%,12/18/2021 12:00:00 AM,$0.26,$0.27,$0.23,$0.25,1186
42.6% or lower,12/18/2021 12:00:00 AM,$0.04,$0.05,$0.02,$0.03,7734
43.3% to 43.5%,12/18/2021 12:00:00 AM,$0.15,$0.18,$0.14,$0.15,2145
43.6% to 43.8%,12/18/2021 12:00:00 AM,$0.18,$0.21,$0.18,$0.19,965
44.2% to 44.4%,12/18/2021 12:00:00 AM,$0.20,$0.22,$0.15,$0.15,2180
44.5% to 44.7%,12/18/2021 12:00:00 AM,$0.08,$0.11,$0.08,$0.09,3127
42.7% to 42.9%,12/18/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,4333
44.8% or higher,12/18/2021 12:00:00 AM,$0.06,$0.09,$0.05,$0.05,4177
43.0% to 43.2%,12/19/2021 12:00:00 AM,$0.06,$0.08,$0.06,$0.07,587
43.9% to 44.1%,12/19/2021 12:00:00 AM,$0.25,$0.27,$0.23,$0.25,918
42.6% or lower,12/19/2021 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,3177
43.3% to 43.5%,12/19/2021 12:00:00 AM,$0.15,$0.18,$0.14,$0.17,1209
43.6% to 43.8%,12/19/2021 12:00:00 AM,$0.19,$0.23,$0.19,$0.23,2147
44.2% to 44.4%,12/19/2021 12:00:00 AM,$0.15,$0.19,$0.15,$0.18,1029
44.5% to 44.7%,12/19/2021 12:00:00 AM,$0.09,$0.11,$0.08,$0.09,1675
42.7% to 42.9%,12/19/2021 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,864
44.8% or higher,12/19/2021 12:00:00 AM,$0.05,$0.06,$0.03,$0.04,2216
43.0% to 43.2%,12/20/2021 12:00:00 AM,$0.07,$0.33,$0.07,$0.19,5056
43.9% to 44.1%,12/20/2021 12:00:00 AM,$0.25,$0.27,$0.06,$0.09,10541
42.6% or lower,12/20/2021 12:00:00 AM,$0.03,$0.11,$0.02,$0.03,10982
43.3% to 43.5%,12/20/2021 12:00:00 AM,$0.17,$0.50,$0.17,$0.35,7032
43.6% to 43.8%,12/20/2021 12:00:00 AM,$0.23,$0.34,$0.21,$0.25,3081
44.2% to 44.4%,12/20/2021 12:00:00 AM,$0.18,$0.18,$0.02,$0.02,12301
44.5% to 44.7%,12/20/2021 12:00:00 AM,$0.09,$0.09,$0.01,$0.02,9024
42.7% to 42.9%,12/20/2021 12:00:00 AM,$0.03,$0.14,$0.02,$0.07,5867
44.8% or higher,12/20/2021 12:00:00 AM,$0.04,$0.05,$0.01,$0.01,8475
43.0% to 43.2%,12/21/2021 12:00:00 AM,$0.19,$0.24,$0.06,$0.09,9197
43.9% to 44.1%,12/21/2021 12:00:00 AM,$0.09,$0.28,$0.08,$0.21,6386
42.6% or lower,12/21/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,13173
43.3% to 43.5%,12/21/2021 12:00:00 AM,$0.35,$0.45,$0.22,$0.27,7679
43.6% to 43.8%,12/21/2021 12:00:00 AM,$0.25,$0.52,$0.23,$0.47,6692
44.2% to 44.4%,12/21/2021 12:00:00 AM,$0.02,$0.04,$0.02,$0.02,5800
44.5% to 44.7%,12/21/2021 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,776
42.7% to 42.9%,12/21/2021 12:00:00 AM,$0.07,$0.09,$0.01,$0.03,15279
44.8% or higher,12/21/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,81
43.0% to 43.2%,12/22/2021 12:00:00 AM,$0.09,$0.41,$0.01,$0.01,35066
43.9% to 44.1%,12/22/2021 12:00:00 AM,$0.21,$0.21,$0.01,$0.01,12299
42.6% or lower,12/22/2021 12:00:00 AM,$0.01,$0.06,$0.01,$0.01,23710
43.3% to 43.5%,12/22/2021 12:00:00 AM,$0.27,$0.99,$0.23,$0.99,43625
43.6% to 43.8%,12/22/2021 12:00:00 AM,$0.47,$0.59,$0.01,$0.01,28483
44.2% to 44.4%,12/22/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,4367
44.5% to 44.7%,12/22/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,101
42.7% to 42.9%,12/22/2021 12:00:00 AM,$0.03,$0.17,$0.01,$0.01,33754
44.8% or higher,12/22/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
43.0% to 43.2%,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,478
43.9% to 44.1%,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.6% or lower,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,175
43.3% to 43.5%,12/23/2021 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,971
43.6% to 43.8%,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,218
44.2% to 44.4%,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
44.5% to 44.7%,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
42.7% to 42.9%,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,175
44.8% or higher,12/23/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,126
