ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
44.5% to 44.7%,10/1/2021 12:00:00 AM,$0.17,$0.21,$0.15,$0.19,8703
45.4% to 45.6%,10/1/2021 12:00:00 AM,$0.17,$0.18,$0.10,$0.11,8905
44.1% or lower,10/1/2021 12:00:00 AM,$0.13,$0.14,$0.06,$0.09,11331
44.8% to 45.0%,10/1/2021 12:00:00 AM,$0.20,$0.30,$0.19,$0.23,7748
45.1% to 45.3%,10/1/2021 12:00:00 AM,$0.21,$0.25,$0.17,$0.22,9614
45.7% to 45.9%,10/1/2021 12:00:00 AM,$0.07,$0.11,$0.06,$0.08,10169
46.0% to 46.2%,10/1/2021 12:00:00 AM,$0.03,$0.05,$0.02,$0.03,8211
44.2% to 44.4%,10/1/2021 12:00:00 AM,$0.11,$0.12,$0.07,$0.10,7356
46.3% or higher,10/1/2021 12:00:00 AM,$0.02,$0.06,$0.02,$0.03,10790
44.5% to 44.7%,10/2/2021 12:00:00 AM,$0.19,$0.21,$0.18,$0.20,2033
45.4% to 45.6%,10/2/2021 12:00:00 AM,$0.11,$0.13,$0.09,$0.11,4217
44.1% or lower,10/2/2021 12:00:00 AM,$0.09,$0.10,$0.08,$0.10,4226
44.8% to 45.0%,10/2/2021 12:00:00 AM,$0.23,$0.26,$0.21,$0.26,2732
45.1% to 45.3%,10/2/2021 12:00:00 AM,$0.22,$0.24,$0.21,$0.23,2109
45.7% to 45.9%,10/2/2021 12:00:00 AM,$0.08,$0.09,$0.05,$0.05,3488
46.0% to 46.2%,10/2/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.02,2674
44.2% to 44.4%,10/2/2021 12:00:00 AM,$0.10,$0.11,$0.08,$0.10,3046
46.3% or higher,10/2/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,5679
44.5% to 44.7%,10/3/2021 12:00:00 AM,$0.20,$0.20,$0.16,$0.16,1928
45.4% to 45.6%,10/3/2021 12:00:00 AM,$0.11,$0.15,$0.11,$0.13,2114
44.1% or lower,10/3/2021 12:00:00 AM,$0.10,$0.10,$0.07,$0.07,2836
44.8% to 45.0%,10/3/2021 12:00:00 AM,$0.26,$0.26,$0.22,$0.25,938
45.1% to 45.3%,10/3/2021 12:00:00 AM,$0.23,$0.25,$0.22,$0.24,1800
45.7% to 45.9%,10/3/2021 12:00:00 AM,$0.05,$0.08,$0.04,$0.06,2958
46.0% to 46.2%,10/3/2021 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,2365
44.2% to 44.4%,10/3/2021 12:00:00 AM,$0.10,$0.10,$0.08,$0.09,2278
46.3% or higher,10/3/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,4206
44.5% to 44.7%,10/4/2021 12:00:00 AM,$0.16,$0.31,$0.14,$0.26,10105
45.4% to 45.6%,10/4/2021 12:00:00 AM,$0.13,$0.18,$0.05,$0.05,15760
44.1% or lower,10/4/2021 12:00:00 AM,$0.07,$0.09,$0.03,$0.06,15462
44.8% to 45.0%,10/4/2021 12:00:00 AM,$0.25,$0.37,$0.24,$0.29,5741
45.1% to 45.3%,10/4/2021 12:00:00 AM,$0.24,$0.30,$0.14,$0.18,8511
45.7% to 45.9%,10/4/2021 12:00:00 AM,$0.06,$0.07,$0.01,$0.01,14829
46.0% to 46.2%,10/4/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,12988
44.2% to 44.4%,10/4/2021 12:00:00 AM,$0.09,$0.15,$0.04,$0.13,13294
46.3% or higher,10/4/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,5356
44.5% to 44.7%,10/5/2021 12:00:00 AM,$0.26,$0.47,$0.25,$0.36,10708
45.4% to 45.6%,10/5/2021 12:00:00 AM,$0.05,$0.08,$0.01,$0.01,31313
44.1% or lower,10/5/2021 12:00:00 AM,$0.06,$0.11,$0.01,$0.10,40435
44.8% to 45.0%,10/5/2021 12:00:00 AM,$0.29,$0.50,$0.11,$0.23,24153
45.1% to 45.3%,10/5/2021 12:00:00 AM,$0.18,$0.21,$0.03,$0.06,26897
45.7% to 45.9%,10/5/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,15174
46.0% to 46.2%,10/5/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3503
44.2% to 44.4%,10/5/2021 12:00:00 AM,$0.13,$0.33,$0.04,$0.31,23625
46.3% or higher,10/5/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,399
44.5% to 44.7%,10/6/2021 12:00:00 AM,$0.36,$0.69,$0.01,$0.01,62687
45.4% to 45.6%,10/6/2021 12:00:00 AM,$0.01,$0.04,$0.01,$0.01,9276
44.1% or lower,10/6/2021 12:00:00 AM,$0.10,$0.99,$0.03,$0.99,144159
44.8% to 45.0%,10/6/2021 12:00:00 AM,$0.23,$0.51,$0.01,$0.01,39847
45.1% to 45.3%,10/6/2021 12:00:00 AM,$0.06,$0.11,$0.01,$0.01,22546
45.7% to 45.9%,10/6/2021 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,615
