ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
44.5% to 44.7%,12/18/2021 12:00:00 AM,$0.12,$0.13,$0.09,$0.10,564
43.0% to 43.2%,12/18/2021 12:00:00 AM,$0.09,$0.09,$0.05,$0.05,388
42.9% or lower,12/18/2021 12:00:00 AM,$0.10,$0.10,$0.03,$0.04,689
44.8% to 45.0%,12/18/2021 12:00:00 AM,$0.07,$0.13,$0.03,$0.12,926
43.3% to 43.5%,12/18/2021 12:00:00 AM,$0.10,$0.15,$0.07,$0.08,198
43.9% to 44.1%,12/18/2021 12:00:00 AM,$0.16,$0.18,$0.13,$0.17,350
45.1% or higher,12/18/2021 12:00:00 AM,$0.08,$0.14,$0.08,$0.14,2788
43.6% to 43.8%,12/18/2021 12:00:00 AM,$0.17,$0.18,$0.12,$0.12,229
44.2% to 44.4%,12/18/2021 12:00:00 AM,$0.21,$0.21,$0.16,$0.20,219
44.5% to 44.7%,12/19/2021 12:00:00 AM,$0.10,$0.14,$0.09,$0.13,311
43.0% to 43.2%,12/19/2021 12:00:00 AM,$0.05,$0.07,$0.04,$0.06,506
42.9% or lower,12/19/2021 12:00:00 AM,$0.04,$0.06,$0.03,$0.05,1015
44.8% to 45.0%,12/19/2021 12:00:00 AM,$0.12,$0.16,$0.09,$0.09,433
43.3% to 43.5%,12/19/2021 12:00:00 AM,$0.08,$0.10,$0.06,$0.09,326
43.9% to 44.1%,12/19/2021 12:00:00 AM,$0.17,$0.19,$0.16,$0.16,73
45.1% or higher,12/19/2021 12:00:00 AM,$0.14,$0.15,$0.05,$0.15,3988
43.6% to 43.8%,12/19/2021 12:00:00 AM,$0.12,$0.17,$0.11,$0.13,128
44.2% to 44.4%,12/19/2021 12:00:00 AM,$0.20,$0.20,$0.16,$0.19,738
44.5% to 44.7%,12/20/2021 12:00:00 AM,$0.13,$0.19,$0.03,$0.04,8749
43.0% to 43.2%,12/20/2021 12:00:00 AM,$0.06,$0.21,$0.04,$0.13,2866
42.9% or lower,12/20/2021 12:00:00 AM,$0.05,$0.72,$0.04,$0.11,2754
44.8% to 45.0%,12/20/2021 12:00:00 AM,$0.09,$0.17,$0.02,$0.02,6400
43.3% to 43.5%,12/20/2021 12:00:00 AM,$0.09,$0.18,$0.05,$0.12,1973
43.9% to 44.1%,12/20/2021 12:00:00 AM,$0.16,$0.39,$0.15,$0.34,3592
45.1% or higher,12/20/2021 12:00:00 AM,$0.15,$0.15,$0.01,$0.01,5176
43.6% to 43.8%,12/20/2021 12:00:00 AM,$0.13,$0.28,$0.08,$0.24,2316
44.2% to 44.4%,12/20/2021 12:00:00 AM,$0.19,$0.25,$0.06,$0.06,5577
44.5% to 44.7%,12/21/2021 12:00:00 AM,$0.04,$0.17,$0.03,$0.05,4594
43.0% to 43.2%,12/21/2021 12:00:00 AM,$0.13,$0.16,$0.06,$0.10,1732
42.9% or lower,12/21/2021 12:00:00 AM,$0.11,$0.14,$0.03,$0.07,1637
44.8% to 45.0%,12/21/2021 12:00:00 AM,$0.02,$0.06,$0.02,$0.02,1839
43.3% to 43.5%,12/21/2021 12:00:00 AM,$0.12,$0.19,$0.12,$0.16,2209
43.9% to 44.1%,12/21/2021 12:00:00 AM,$0.34,$0.34,$0.07,$0.15,2709
45.1% or higher,12/21/2021 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,1628
43.6% to 43.8%,12/21/2021 12:00:00 AM,$0.24,$0.27,$0.19,$0.20,1120
44.2% to 44.4%,12/21/2021 12:00:00 AM,$0.06,$0.25,$0.06,$0.17,5464
44.5% to 44.7%,12/22/2021 12:00:00 AM,$0.05,$0.05,$0.01,$0.01,4317
43.0% to 43.2%,12/22/2021 12:00:00 AM,$0.10,$0.40,$0.07,$0.28,3159
42.9% or lower,12/22/2021 12:00:00 AM,$0.07,$0.65,$0.03,$0.20,5670
44.8% to 45.0%,12/22/2021 12:00:00 AM,$0.02,$0.04,$0.01,$0.01,2294
43.3% to 43.5%,12/22/2021 12:00:00 AM,$0.16,$0.52,$0.11,$0.40,7247
43.9% to 44.1%,12/22/2021 12:00:00 AM,$0.15,$0.32,$0.01,$0.02,6973
45.1% or higher,12/22/2021 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2260
43.6% to 43.8%,12/22/2021 12:00:00 AM,$0.20,$0.29,$0.04,$0.12,4863
44.2% to 44.4%,12/22/2021 12:00:00 AM,$0.17,$0.22,$0.01,$0.01,6487
