ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
42.9% to 43.1%,11/13/2021 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,1778
41.4% to 41.6%,11/13/2021 12:00:00 AM,$0.11,$0.17,$0.10,$0.17,1246
41.3% or lower,11/13/2021 12:00:00 AM,$0.18,$0.18,$0.13,$0.15,834
43.2% to 43.4%,11/13/2021 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,1113
41.7% to 41.9%,11/13/2021 12:00:00 AM,$0.14,$0.16,$0.13,$0.16,819
42.3% to 42.5%,11/13/2021 12:00:00 AM,$0.15,$0.17,$0.14,$0.16,471
43.5% or higher,11/13/2021 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1254
42.0% to 42.2%,11/13/2021 12:00:00 AM,$0.18,$0.18,$0.15,$0.17,277
42.6% to 42.8%,11/13/2021 12:00:00 AM,$0.18,$0.18,$0.13,$0.15,162
42.9% to 43.1%,11/14/2021 12:00:00 AM,$0.08,$0.09,$0.03,$0.04,1994
41.4% to 41.6%,11/14/2021 12:00:00 AM,$0.17,$0.21,$0.15,$0.19,914
41.3% or lower,11/14/2021 12:00:00 AM,$0.15,$0.26,$0.14,$0.18,4357
43.2% to 43.4%,11/14/2021 12:00:00 AM,$0.05,$0.05,$0.01,$0.01,2004
41.7% to 41.9%,11/14/2021 12:00:00 AM,$0.16,$0.22,$0.14,$0.21,1468
42.3% to 42.5%,11/14/2021 12:00:00 AM,$0.16,$0.17,$0.11,$0.15,728
43.5% or higher,11/14/2021 12:00:00 AM,$0.05,$0.05,$0.01,$0.01,3305
42.0% to 42.2%,11/14/2021 12:00:00 AM,$0.17,$0.23,$0.17,$0.21,1072
42.6% to 42.8%,11/14/2021 12:00:00 AM,$0.15,$0.15,$0.08,$0.12,1354
42.9% to 43.1%,11/15/2021 12:00:00 AM,$0.04,$0.06,$0.03,$0.05,832
41.4% to 41.6%,11/15/2021 12:00:00 AM,$0.19,$0.19,$0.12,$0.12,1505
