ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.3% to 41.5%,4/23/2022 12:00:00 AM,$0.16,$0.19,$0.16,$0.17,266
39.8% to 40.0%,4/23/2022 12:00:00 AM,$0.06,$0.10,$0.03,$0.03,737
39.7% or lower,4/23/2022 12:00:00 AM,$0.04,$0.05,$0.02,$0.02,1827
41.6% to 41.8%,4/23/2022 12:00:00 AM,$0.06,$0.14,$0.06,$0.10,375
40.1% to 40.3%,4/23/2022 12:00:00 AM,$0.10,$0.13,$0.08,$0.08,574
40.7% to 40.9%,4/23/2022 12:00:00 AM,$0.16,$0.17,$0.16,$0.17,443
41.9% or higher,4/23/2022 12:00:00 AM,$0.09,$0.11,$0.06,$0.06,1844
40.4% to 40.6%,4/23/2022 12:00:00 AM,$0.15,$0.17,$0.15,$0.17,321
41.0% to 41.2%,4/23/2022 12:00:00 AM,$0.18,$0.19,$0.18,$0.19,290
41.3% to 41.5%,4/24/2022 12:00:00 AM,$0.17,$0.20,$0.14,$0.15,332
39.8% to 40.0%,4/24/2022 12:00:00 AM,$0.03,$0.07,$0.03,$0.04,1363
39.7% or lower,4/24/2022 12:00:00 AM,$0.02,$0.06,$0.02,$0.04,544
41.6% to 41.8%,4/24/2022 12:00:00 AM,$0.10,$0.17,$0.10,$0.13,494
40.1% to 40.3%,4/24/2022 12:00:00 AM,$0.08,$0.10,$0.04,$0.10,1882
40.7% to 40.9%,4/24/2022 12:00:00 AM,$0.17,$0.19,$0.15,$0.17,559
41.9% or higher,4/24/2022 12:00:00 AM,$0.06,$0.09,$0.04,$0.06,2145
40.4% to 40.6%,4/24/2022 12:00:00 AM,$0.17,$0.19,$0.15,$0.15,379
41.0% to 41.2%,4/24/2022 12:00:00 AM,$0.19,$0.20,$0.18,$0.18,517
41.3% to 41.5%,4/25/2022 12:00:00 AM,$0.15,$0.19,$0.15,$0.18,623
39.8% to 40.0%,4/25/2022 12:00:00 AM,$0.04,$0.08,$0.02,$0.02,1959
39.7% or lower,4/25/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,2005
41.6% to 41.8%,4/25/2022 12:00:00 AM,$0.13,$0.18,$0.10,$0.12,1114
40.1% to 40.3%,4/25/2022 12:00:00 AM,$0.10,$0.10,$0.03,$0.04,1628
40.7% to 40.9%,4/25/2022 12:00:00 AM,$0.17,$0.20,$0.16,$0.20,614
41.9% or higher,4/25/2022 12:00:00 AM,$0.06,$0.20,$0.05,$0.20,1537
40.4% to 40.6%,4/25/2022 12:00:00 AM,$0.15,$0.18,$0.12,$0.15,625
41.0% to 41.2%,4/25/2022 12:00:00 AM,$0.18,$0.21,$0.17,$0.20,848
41.3% to 41.5%,4/26/2022 12:00:00 AM,$0.18,$0.19,$0.13,$0.13,445
39.8% to 40.0%,4/26/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.03,7453
39.7% or lower,4/26/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,7252
41.6% to 41.8%,4/26/2022 12:00:00 AM,$0.12,$0.17,$0.10,$0.10,1201
40.1% to 40.3%,4/26/2022 12:00:00 AM,$0.04,$0.09,$0.02,$0.09,2201
40.7% to 40.9%,4/26/2022 12:00:00 AM,$0.20,$0.23,$0.12,$0.22,1067
41.9% or higher,4/26/2022 12:00:00 AM,$0.20,$0.21,$0.08,$0.10,3917
40.4% to 40.6%,4/26/2022 12:00:00 AM,$0.15,$0.15,$0.03,$0.12,2825
41.0% to 41.2%,4/26/2022 12:00:00 AM,$0.20,$0.22,$0.17,$0.17,434
41.3% to 41.5%,4/27/2022 12:00:00 AM,$0.13,$0.29,$0.09,$0.28,2295
39.8% to 40.0%,4/27/2022 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,3721
39.7% or lower,4/27/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,532
41.6% to 41.8%,4/27/2022 12:00:00 AM,$0.10,$0.18,$0.03,$0.11,4046
40.1% to 40.3%,4/27/2022 12:00:00 AM,$0.09,$0.14,$0.01,$0.02,5160
40.7% to 40.9%,4/27/2022 12:00:00 AM,$0.22,$0.32,$0.12,$0.18,3099
41.9% or higher,4/27/2022 12:00:00 AM,$0.10,$0.11,$0.03,$0.04,4054
40.4% to 40.6%,4/27/2022 12:00:00 AM,$0.12,$0.30,$0.05,$0.06,4707
41.0% to 41.2%,4/27/2022 12:00:00 AM,$0.17,$0.40,$0.15,$0.36,3436
41.3% to 41.5%,4/28/2022 12:00:00 AM,$0.28,$0.76,$0.19,$0.70,19109
39.8% to 40.0%,4/28/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,75
39.7% or lower,4/28/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
41.6% to 41.8%,4/28/2022 12:00:00 AM,$0.11,$0.53,$0.06,$0.14,24566
40.1% to 40.3%,4/28/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,2886
40.7% to 40.9%,4/28/2022 12:00:00 AM,$0.18,$0.31,$0.01,$0.01,21715
41.9% or higher,4/28/2022 12:00:00 AM,$0.04,$0.25,$0.01,$0.01,20089
40.4% to 40.6%,4/28/2022 12:00:00 AM,$0.06,$0.14,$0.01,$0.01,17381
41.0% to 41.2%,4/28/2022 12:00:00 AM,$0.36,$0.50,$0.03,$0.13,17160
41.3% to 41.5%,4/29/2022 12:00:00 AM,$0.70,$0.99,$0.66,$0.99,24236
39.8% to 40.0%,4/29/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.7% or lower,4/29/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,77
41.6% to 41.8%,4/29/2022 12:00:00 AM,$0.14,$0.35,$0.01,$0.01,20581
40.1% to 40.3%,4/29/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
40.7% to 40.9%,4/29/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2590
41.9% or higher,4/29/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,7006
40.4% to 40.6%,4/29/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1307
41.0% to 41.2%,4/29/2022 12:00:00 AM,$0.13,$0.16,$0.01,$0.01,10582
