ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.3% to 41.5%,4/2/2022 12:00:00 AM,$0.09,$0.10,$0.08,$0.10,825
39.8% to 40.0%,4/2/2022 12:00:00 AM,$0.16,$0.16,$0.08,$0.08,400
39.7% or lower,4/2/2022 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,1352
41.6% to 41.8%,4/2/2022 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,1899
40.1% to 40.3%,4/2/2022 12:00:00 AM,$0.17,$0.19,$0.17,$0.19,224
40.7% to 40.9%,4/2/2022 12:00:00 AM,$0.17,$0.19,$0.15,$0.17,602
41.9% or higher,4/2/2022 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,985
40.4% to 40.6%,4/2/2022 12:00:00 AM,$0.17,$0.20,$0.17,$0.20,361
41.0% to 41.2%,4/2/2022 12:00:00 AM,$0.15,$0.17,$0.15,$0.17,315
41.3% to 41.5%,4/3/2022 12:00:00 AM,$0.10,$0.11,$0.06,$0.08,155
39.8% to 40.0%,4/3/2022 12:00:00 AM,$0.08,$0.10,$0.08,$0.10,81
39.7% or lower,4/3/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.06,1295
41.6% to 41.8%,4/3/2022 12:00:00 AM,$0.05,$0.05,$0.03,$0.05,41
40.1% to 40.3%,4/3/2022 12:00:00 AM,$0.19,$0.19,$0.18,$0.19,73
40.7% to 40.9%,4/3/2022 12:00:00 AM,$0.17,$0.18,$0.13,$0.18,172
41.9% or higher,4/3/2022 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,727
40.4% to 40.6%,4/3/2022 12:00:00 AM,$0.20,$0.20,$0.19,$0.20,497
41.0% to 41.2%,4/3/2022 12:00:00 AM,$0.17,$0.18,$0.17,$0.17,229
41.3% to 41.5%,4/4/2022 12:00:00 AM,$0.08,$0.18,$0.06,$0.13,591
39.8% to 40.0%,4/4/2022 12:00:00 AM,$0.10,$0.13,$0.04,$0.04,1524
39.7% or lower,4/4/2022 12:00:00 AM,$0.06,$0.12,$0.06,$0.06,1010
41.6% to 41.8%,4/4/2022 12:00:00 AM,$0.05,$0.06,$0.03,$0.04,861
40.1% to 40.3%,4/4/2022 12:00:00 AM,$0.19,$0.20,$0.13,$0.13,1011
40.7% to 40.9%,4/4/2022 12:00:00 AM,$0.18,$0.23,$0.17,$0.20,1041
41.9% or higher,4/4/2022 12:00:00 AM,$0.02,$0.04,$0.02,$0.03,671
40.4% to 40.6%,4/4/2022 12:00:00 AM,$0.20,$0.22,$0.18,$0.19,1052
41.0% to 41.2%,4/4/2022 12:00:00 AM,$0.17,$0.21,$0.17,$0.21,645
41.3% to 41.5%,4/5/2022 12:00:00 AM,$0.13,$0.35,$0.10,$0.35,1902
39.8% to 40.0%,4/5/2022 12:00:00 AM,$0.04,$0.06,$0.01,$0.01,3022
39.7% or lower,4/5/2022 12:00:00 AM,$0.06,$0.07,$0.01,$0.01,3808
41.6% to 41.8%,4/5/2022 12:00:00 AM,$0.04,$0.30,$0.03,$0.20,2775
40.1% to 40.3%,4/5/2022 12:00:00 AM,$0.13,$0.13,$0.01,$0.01,3633
40.7% to 40.9%,4/5/2022 12:00:00 AM,$0.20,$0.29,$0.05,$0.06,1757
41.9% or higher,4/5/2022 12:00:00 AM,$0.03,$0.08,$0.01,$0.05,1510
40.4% to 40.6%,4/5/2022 12:00:00 AM,$0.19,$0.20,$0.02,$0.04,2995
41.0% to 41.2%,4/5/2022 12:00:00 AM,$0.21,$0.29,$0.18,$0.22,940
41.3% to 41.5%,4/6/2022 12:00:00 AM,$0.35,$0.45,$0.22,$0.43,3176
39.8% to 40.0%,4/6/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,727
39.7% or lower,4/6/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,709
41.6% to 41.8%,4/6/2022 12:00:00 AM,$0.20,$0.35,$0.07,$0.13,5054
40.1% to 40.3%,4/6/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,1708
40.7% to 40.9%,4/6/2022 12:00:00 AM,$0.06,$0.24,$0.04,$0.08,3954
41.9% or higher,4/6/2022 12:00:00 AM,$0.05,$0.08,$0.03,$0.04,3651
40.4% to 40.6%,4/6/2022 12:00:00 AM,$0.04,$0.06,$0.01,$0.02,2784
41.0% to 41.2%,4/6/2022 12:00:00 AM,$0.22,$0.58,$0.22,$0.38,3235
41.3% to 41.5%,4/7/2022 12:00:00 AM,$0.43,$0.65,$0.40,$0.65,7707
39.8% to 40.0%,4/7/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1050
39.7% or lower,4/7/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
41.6% to 41.8%,4/7/2022 12:00:00 AM,$0.13,$0.49,$0.10,$0.26,6574
40.1% to 40.3%,4/7/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,619
40.7% to 40.9%,4/7/2022 12:00:00 AM,$0.08,$0.08,$0.01,$0.01,13495
41.9% or higher,4/7/2022 12:00:00 AM,$0.04,$0.11,$0.01,$0.04,11496
40.4% to 40.6%,4/7/2022 12:00:00 AM,$0.02,$0.05,$0.01,$0.01,6074
41.0% to 41.2%,4/7/2022 12:00:00 AM,$0.38,$0.38,$0.05,$0.09,10068
41.3% to 41.5%,4/8/2022 12:00:00 AM,$0.65,$0.99,$0.62,$0.99,10636
39.8% to 40.0%,4/8/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.7% or lower,4/8/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.6% to 41.8%,4/8/2022 12:00:00 AM,$0.26,$0.35,$0.01,$0.01,10754
40.1% to 40.3%,4/8/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.7% to 40.9%,4/8/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1651
41.9% or higher,4/8/2022 12:00:00 AM,$0.04,$0.09,$0.01,$0.01,7074
40.4% to 40.6%,4/8/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.0% to 41.2%,4/8/2022 12:00:00 AM,$0.09,$0.09,$0.01,$0.01,4833
