ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
43.1% to 43.3%,10/22/2021 12:00:00 AM,$0.16,$0.25,$0.14,$0.21,4904
44.0% to 44.2%,10/22/2021 12:00:00 AM,$0.12,$0.15,$0.08,$0.12,8140
42.7% or lower,10/22/2021 12:00:00 AM,$0.15,$0.26,$0.12,$0.14,11954
43.4% to 43.6%,10/22/2021 12:00:00 AM,$0.16,$0.20,$0.14,$0.17,5451
43.7% to 43.9%,10/22/2021 12:00:00 AM,$0.17,$0.19,$0.16,$0.17,6577
44.3% to 44.5%,10/22/2021 12:00:00 AM,$0.09,$0.11,$0.05,$0.07,8430
44.6% to 44.8%,10/22/2021 12:00:00 AM,$0.06,$0.08,$0.03,$0.04,7662
42.8% to 43.0%,10/22/2021 12:00:00 AM,$0.13,$0.20,$0.12,$0.17,7613
44.9% or higher,10/22/2021 12:00:00 AM,$0.05,$0.07,$0.02,$0.03,13071
43.1% to 43.3%,10/23/2021 12:00:00 AM,$0.21,$0.23,$0.18,$0.20,2147
44.0% to 44.2%,10/23/2021 12:00:00 AM,$0.12,$0.13,$0.10,$0.10,2865
42.7% or lower,10/23/2021 12:00:00 AM,$0.14,$0.19,$0.14,$0.16,2884
43.4% to 43.6%,10/23/2021 12:00:00 AM,$0.17,$0.20,$0.16,$0.18,1451
43.7% to 43.9%,10/23/2021 12:00:00 AM,$0.17,$0.18,$0.16,$0.17,1126
44.3% to 44.5%,10/23/2021 12:00:00 AM,$0.07,$0.07,$0.04,$0.05,4592
44.6% to 44.8%,10/23/2021 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,2423
42.8% to 43.0%,10/23/2021 12:00:00 AM,$0.17,$0.18,$0.15,$0.15,1095
44.9% or higher,10/23/2021 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,3248
43.1% to 43.3%,10/24/2021 12:00:00 AM,$0.20,$0.23,$0.16,$0.17,4316
44.0% to 44.2%,10/24/2021 12:00:00 AM,$0.10,$0.16,$0.10,$0.16,5959
42.7% or lower,10/24/2021 12:00:00 AM,$0.16,$0.17,$0.10,$0.12,3734
43.4% to 43.6%,10/24/2021 12:00:00 AM,$0.18,$0.25,$0.18,$0.20,4851
43.7% to 43.9%,10/24/2021 12:00:00 AM,$0.17,$0.22,$0.13,$0.18,6143
44.3% to 44.5%,10/24/2021 12:00:00 AM,$0.05,$0.11,$0.04,$0.08,6469
44.6% to 44.8%,10/24/2021 12:00:00 AM,$0.03,$0.05,$0.01,$0.04,4285
42.8% to 43.0%,10/24/2021 12:00:00 AM,$0.15,$0.18,$0.12,$0.13,2459
44.9% or higher,10/24/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.03,3991
43.1% to 43.3%,10/25/2021 12:00:00 AM,$0.17,$0.22,$0.13,$0.17,5006
44.0% to 44.2%,10/25/2021 12:00:00 AM,$0.16,$0.20,$0.12,$0.15,5952
42.7% or lower,10/25/2021 12:00:00 AM,$0.12,$0.13,$0.03,$0.04,7951
43.4% to 43.6%,10/25/2021 12:00:00 AM,$0.20,$0.28,$0.19,$0.26,4760
43.7% to 43.9%,10/25/2021 12:00:00 AM,$0.18,$0.31,$0.17,$0.28,4910
44.3% to 44.5%,10/25/2021 12:00:00 AM,$0.08,$0.11,$0.05,$0.10,8140
44.6% to 44.8%,10/25/2021 12:00:00 AM,$0.04,$0.05,$0.02,$0.03,5046
42.8% to 43.0%,10/25/2021 12:00:00 AM,$0.13,$0.13,$0.06,$0.07,6034
44.9% or higher,10/25/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.03,6660
43.1% to 43.3%,10/26/2021 12:00:00 AM,$0.17,$0.38,$0.15,$0.35,11109
44.0% to 44.2%,10/26/2021 12:00:00 AM,$0.15,$0.15,$0.04,$0.05,11419
42.7% or lower,10/26/2021 12:00:00 AM,$0.04,$0.16,$0.03,$0.06,14374
43.4% to 43.6%,10/26/2021 12:00:00 AM,$0.26,$0.40,$0.23,$0.39,9969
43.7% to 43.9%,10/26/2021 12:00:00 AM,$0.28,$0.28,$0.10,$0.13,12886
44.3% to 44.5%,10/26/2021 12:00:00 AM,$0.10,$0.10,$0.01,$0.01,12165
44.6% to 44.8%,10/26/2021 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,6727
42.8% to 43.0%,10/26/2021 12:00:00 AM,$0.07,$0.23,$0.05,$0.16,12409
44.9% or higher,10/26/2021 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,5998
43.1% to 43.3%,10/27/2021 12:00:00 AM,$0.35,$0.37,$0.01,$0.01,28290
44.0% to 44.2%,10/27/2021 12:00:00 AM,$0.05,$0.07,$0.01,$0.01,16676
