ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
38.4% to 38.6%,6/11/2022 12:00:00 AM,$0.13,$0.20,$0.13,$0.18,52
39.0% to 39.2%,6/11/2022 12:00:00 AM,$0.21,$0.21,$0.19,$0.20,65
38.3% or lower,6/11/2022 12:00:00 AM,$0.22,$0.22,$0.08,$0.08,1
38.7% to 38.9%,6/11/2022 12:00:00 AM,$0.13,$0.21,$0.13,$0.18,56
39.3% to 39.5%,6/11/2022 12:00:00 AM,$0.20,$0.20,$0.16,$0.17,248
39.9% to 40.1%,6/11/2022 12:00:00 AM,$0.05,$0.09,$0.05,$0.09,123
40.5% or higher,6/11/2022 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,203
39.6% to 39.8%,6/11/2022 12:00:00 AM,$0.20,$0.20,$0.19,$0.19,1
40.2% to 40.4%,6/11/2022 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,105
38.4% to 38.6%,6/12/2022 12:00:00 AM,$0.18,$0.18,$0.06,$0.06,151
39.0% to 39.2%,6/12/2022 12:00:00 AM,$0.20,$0.23,$0.20,$0.21,188
38.3% or lower,6/12/2022 12:00:00 AM,$0.08,$0.13,$0.06,$0.06,255
38.7% to 38.9%,6/12/2022 12:00:00 AM,$0.18,$0.19,$0.16,$0.16,68
39.3% to 39.5%,6/12/2022 12:00:00 AM,$0.17,$0.20,$0.17,$0.18,152
39.9% to 40.1%,6/12/2022 12:00:00 AM,$0.09,$0.11,$0.08,$0.09,103
40.5% or higher,6/12/2022 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,544
39.6% to 39.8%,6/12/2022 12:00:00 AM,$0.19,$0.19,$0.14,$0.16,162
40.2% to 40.4%,6/12/2022 12:00:00 AM,$0.04,$0.08,$0.04,$0.04,158
38.4% to 38.6%,6/13/2022 12:00:00 AM,$0.06,$0.26,$0.06,$0.26,471
