ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.2% to 40.4%,2/11/2022 12:00:00 AM,$0.13,$0.14,$0.03,$0.07,10605
41.1% to 41.3%,2/11/2022 12:00:00 AM,$0.18,$0.24,$0.17,$0.19,6306
40.1% or lower,2/11/2022 12:00:00 AM,$0.10,$0.15,$0.02,$0.05,17014
40.5% to 40.7%,2/11/2022 12:00:00 AM,$0.19,$0.22,$0.06,$0.11,10814
40.8% to 41.0%,2/11/2022 12:00:00 AM,$0.21,$0.24,$0.14,$0.17,10613
41.4% to 41.6%,2/11/2022 12:00:00 AM,$0.14,$0.25,$0.10,$0.20,8849
41.7% to 41.9%,2/11/2022 12:00:00 AM,$0.06,$0.22,$0.06,$0.19,13623
42.0% to 42.2%,2/11/2022 12:00:00 AM,$0.04,$0.14,$0.03,$0.11,15901
42.3% or higher,2/11/2022 12:00:00 AM,$0.02,$0.09,$0.02,$0.07,15613
40.2% to 40.4%,2/12/2022 12:00:00 AM,$0.07,$0.07,$0.05,$0.06,2908
41.1% to 41.3%,2/12/2022 12:00:00 AM,$0.19,$0.22,$0.18,$0.21,3260
40.1% or lower,2/12/2022 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,4238
40.5% to 40.7%,2/12/2022 12:00:00 AM,$0.11,$0.12,$0.08,$0.09,2307
40.8% to 41.0%,2/12/2022 12:00:00 AM,$0.17,$0.17,$0.14,$0.15,2887
41.4% to 41.6%,2/12/2022 12:00:00 AM,$0.20,$0.23,$0.20,$0.21,2337
41.7% to 41.9%,2/12/2022 12:00:00 AM,$0.19,$0.20,$0.17,$0.17,1752
42.0% to 42.2%,2/12/2022 12:00:00 AM,$0.11,$0.13,$0.10,$0.12,2195
42.3% or higher,2/12/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.05,4414
40.2% to 40.4%,2/13/2022 12:00:00 AM,$0.06,$0.06,$0.02,$0.02,7089
41.1% to 41.3%,2/13/2022 12:00:00 AM,$0.21,$0.22,$0.15,$0.16,5017
40.1% or lower,2/13/2022 12:00:00 AM,$0.03,$0.05,$0.01,$0.02,8832
40.5% to 40.7%,2/13/2022 12:00:00 AM,$0.09,$0.10,$0.03,$0.05,7568
40.8% to 41.0%,2/13/2022 12:00:00 AM,$0.15,$0.15,$0.06,$0.08,7082
41.4% to 41.6%,2/13/2022 12:00:00 AM,$0.21,$0.24,$0.20,$0.22,3083
41.7% to 41.9%,2/13/2022 12:00:00 AM,$0.17,$0.27,$0.16,$0.24,5047
42.0% to 42.2%,2/13/2022 12:00:00 AM,$0.12,$0.20,$0.11,$0.19,6764
42.3% or higher,2/13/2022 12:00:00 AM,$0.05,$0.15,$0.05,$0.10,10852
40.2% to 40.4%,2/14/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.01,6059
41.1% to 41.3%,2/14/2022 12:00:00 AM,$0.16,$0.24,$0.15,$0.21,4599
40.1% or lower,2/14/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,7192
40.5% to 40.7%,2/14/2022 12:00:00 AM,$0.05,$0.06,$0.02,$0.04,5611
40.8% to 41.0%,2/14/2022 12:00:00 AM,$0.08,$0.14,$0.06,$0.10,6051
41.4% to 41.6%,2/14/2022 12:00:00 AM,$0.22,$0.30,$0.19,$0.26,3307
41.7% to 41.9%,2/14/2022 12:00:00 AM,$0.24,$0.27,$0.18,$0.25,3989
42.0% to 42.2%,2/14/2022 12:00:00 AM,$0.19,$0.22,$0.12,$0.16,4164
42.3% or higher,2/14/2022 12:00:00 AM,$0.10,$0.14,$0.06,$0.10,6241
40.2% to 40.4%,2/15/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3870
41.1% to 41.3%,2/15/2022 12:00:00 AM,$0.21,$0.25,$0.12,$0.14,4400
40.1% or lower,2/15/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2892
40.5% to 40.7%,2/15/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.02,9625
40.8% to 41.0%,2/15/2022 12:00:00 AM,$0.10,$0.13,$0.02,$0.03,8885
41.4% to 41.6%,2/15/2022 12:00:00 AM,$0.26,$0.31,$0.18,$0.20,4475
41.7% to 41.9%,2/15/2022 12:00:00 AM,$0.25,$0.40,$0.19,$0.32,5408
42.0% to 42.2%,2/15/2022 12:00:00 AM,$0.16,$0.28,$0.12,$0.26,7575
42.3% or higher,2/15/2022 12:00:00 AM,$0.10,$0.12,$0.04,$0.11,8705
40.2% to 40.4%,2/16/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8309
41.1% to 41.3%,2/16/2022 12:00:00 AM,$0.14,$0.76,$0.01,$0.01,29784
40.1% or lower,2/16/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2811
40.5% to 40.7%,2/16/2022 12:00:00 AM,$0.02,$0.12,$0.01,$0.01,13421
40.8% to 41.0%,2/16/2022 12:00:00 AM,$0.03,$0.24,$0.01,$0.01,28428
41.4% to 41.6%,2/16/2022 12:00:00 AM,$0.20,$0.99,$0.20,$0.99,37102
41.7% to 41.9%,2/16/2022 12:00:00 AM,$0.32,$0.60,$0.01,$0.01,31158
42.0% to 42.2%,2/16/2022 12:00:00 AM,$0.26,$0.42,$0.01,$0.01,27046
42.3% or higher,2/16/2022 12:00:00 AM,$0.11,$0.15,$0.01,$0.01,26875
40.2% to 40.4%,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.1% to 41.3%,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,51
40.1% or lower,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,413
40.5% to 40.7%,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.8% to 41.0%,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,965
41.4% to 41.6%,2/17/2022 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,1369
41.7% to 41.9%,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
42.0% to 42.2%,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
42.3% or higher,2/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
