ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
43.3% to 43.5%,3/12/2022 12:00:00 AM,$0.10,$0.11,$0.06,$0.06,1300
41.8% to 42.0%,3/12/2022 12:00:00 AM,$0.06,$0.09,$0.06,$0.09,732
41.7% or lower,3/12/2022 12:00:00 AM,$0.07,$0.11,$0.07,$0.10,237
43.6% to 43.8%,3/12/2022 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,347
42.1% to 42.3%,3/12/2022 12:00:00 AM,$0.13,$0.20,$0.13,$0.19,792
42.7% to 42.9%,3/12/2022 12:00:00 AM,$0.17,$0.18,$0.15,$0.17,395
43.9% or higher,3/12/2022 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,517
42.4% to 42.6%,3/12/2022 12:00:00 AM,$0.15,$0.18,$0.15,$0.18,179
43.0% to 43.2%,3/12/2022 12:00:00 AM,$0.17,$0.18,$0.15,$0.16,420
43.3% to 43.5%,3/13/2022 12:00:00 AM,$0.06,$0.11,$0.06,$0.10,995
41.8% to 42.0%,3/13/2022 12:00:00 AM,$0.09,$0.09,$0.06,$0.08,842
41.7% or lower,3/13/2022 12:00:00 AM,$0.10,$0.10,$0.05,$0.07,1678
43.6% to 43.8%,3/13/2022 12:00:00 AM,$0.06,$0.07,$0.05,$0.06,562
42.1% to 42.3%,3/13/2022 12:00:00 AM,$0.19,$0.19,$0.11,$0.14,892
42.7% to 42.9%,3/13/2022 12:00:00 AM,$0.17,$0.18,$0.16,$0.18,322
43.9% or higher,3/13/2022 12:00:00 AM,$0.05,$0.07,$0.04,$0.06,2172
42.4% to 42.6%,3/13/2022 12:00:00 AM,$0.18,$0.18,$0.16,$0.17,150
43.0% to 43.2%,3/13/2022 12:00:00 AM,$0.16,$0.18,$0.16,$0.17,535
43.3% to 43.5%,3/14/2022 12:00:00 AM,$0.10,$0.10,$0.05,$0.05,986
41.8% to 42.0%,3/14/2022 12:00:00 AM,$0.08,$0.12,$0.06,$0.09,626
41.7% or lower,3/14/2022 12:00:00 AM,$0.07,$0.15,$0.05,$0.05,1272
43.6% to 43.8%,3/14/2022 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,328
42.1% to 42.3%,3/14/2022 12:00:00 AM,$0.14,$0.19,$0.13,$0.17,209
42.7% to 42.9%,3/14/2022 12:00:00 AM,$0.18,$0.20,$0.16,$0.20,484
43.9% or higher,3/14/2022 12:00:00 AM,$0.06,$0.06,$0.03,$0.03,709
42.4% to 42.6%,3/14/2022 12:00:00 AM,$0.17,$0.30,$0.17,$0.28,792
43.0% to 43.2%,3/14/2022 12:00:00 AM,$0.17,$0.17,$0.14,$0.14,526
43.3% to 43.5%,3/15/2022 12:00:00 AM,$0.05,$0.13,$0.05,$0.06,1976
41.8% to 42.0%,3/15/2022 12:00:00 AM,$0.09,$0.11,$0.05,$0.10,2235
41.7% or lower,3/15/2022 12:00:00 AM,$0.05,$0.08,$0.03,$0.06,5378
43.6% to 43.8%,3/15/2022 12:00:00 AM,$0.04,$0.05,$0.01,$0.01,4272
42.1% to 42.3%,3/15/2022 12:00:00 AM,$0.17,$0.17,$0.09,$0.16,2193
42.7% to 42.9%,3/15/2022 12:00:00 AM,$0.20,$0.32,$0.16,$0.26,2463
43.9% or higher,3/15/2022 12:00:00 AM,$0.03,$0.05,$0.01,$0.01,5315
42.4% to 42.6%,3/15/2022 12:00:00 AM,$0.28,$0.28,$0.13,$0.18,1916
43.0% to 43.2%,3/15/2022 12:00:00 AM,$0.14,$0.40,$0.14,$0.21,5909
43.3% to 43.5%,3/16/2022 12:00:00 AM,$0.06,$0.06,$0.01,$0.01,3662
41.8% to 42.0%,3/16/2022 12:00:00 AM,$0.10,$0.34,$0.09,$0.33,5160
41.7% or lower,3/16/2022 12:00:00 AM,$0.06,$0.75,$0.06,$0.58,8637
43.6% to 43.8%,3/16/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1382
42.1% to 42.3%,3/16/2022 12:00:00 AM,$0.16,$0.29,$0.04,$0.13,3636
42.7% to 42.9%,3/16/2022 12:00:00 AM,$0.26,$0.34,$0.02,$0.02,6746
43.9% or higher,3/16/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1676
42.4% to 42.6%,3/16/2022 12:00:00 AM,$0.18,$0.22,$0.02,$0.06,4227
43.0% to 43.2%,3/16/2022 12:00:00 AM,$0.21,$0.21,$0.01,$0.01,6451
43.3% to 43.5%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
41.8% to 42.0%,3/17/2022 12:00:00 AM,$0.33,$0.33,$0.03,$0.05,10760
41.7% or lower,3/17/2022 12:00:00 AM,$0.58,$0.96,$0.55,$0.95,21282
43.6% to 43.8%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
42.1% to 42.3%,3/17/2022 12:00:00 AM,$0.13,$0.17,$0.01,$0.02,11507
42.7% to 42.9%,3/17/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3937
43.9% or higher,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
42.4% to 42.6%,3/17/2022 12:00:00 AM,$0.06,$0.08,$0.01,$0.01,6175
43.0% to 43.2%,3/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,35
43.3% to 43.5%,3/18/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.8% to 42.0%,3/18/2022 12:00:00 AM,$0.05,$0.06,$0.01,$0.01,2043
41.7% or lower,3/18/2022 12:00:00 AM,$0.95,$0.99,$0.90,$0.99,3893
43.6% to 43.8%,3/18/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
