ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
39.6% to 39.8%,6/4/2022 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,80
40.2% to 40.4%,6/4/2022 12:00:00 AM,$0.22,$0.22,$0.22,$0.22,148
39.5% or lower,6/4/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,874
39.9% to 40.1%,6/4/2022 12:00:00 AM,$0.17,$0.17,$0.08,$0.08,198
40.5% to 40.7%,6/4/2022 12:00:00 AM,$0.25,$0.26,$0.23,$0.25,204
41.1% to 41.3%,6/4/2022 12:00:00 AM,$0.13,$0.13,$0.08,$0.08,129
41.7% or higher,6/4/2022 12:00:00 AM,$0.03,$0.09,$0.02,$0.03,914
40.8% to 41.0%,6/4/2022 12:00:00 AM,$0.23,$0.23,$0.23,$0.23,38
41.4% to 41.6%,6/4/2022 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,138
39.6% to 39.8%,6/5/2022 12:00:00 AM,$0.03,$0.06,$0.02,$0.05,623
40.2% to 40.4%,6/5/2022 12:00:00 AM,$0.22,$0.24,$0.21,$0.22,300
39.5% or lower,6/5/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,271
39.9% to 40.1%,6/5/2022 12:00:00 AM,$0.08,$0.17,$0.08,$0.17,252
40.5% to 40.7%,6/5/2022 12:00:00 AM,$0.25,$0.25,$0.23,$0.23,95
41.1% to 41.3%,6/5/2022 12:00:00 AM,$0.08,$0.13,$0.08,$0.12,169
41.7% or higher,6/5/2022 12:00:00 AM,$0.03,$0.05,$0.02,$0.02,543
40.8% to 41.0%,6/5/2022 12:00:00 AM,$0.23,$0.25,$0.22,$0.23,173
41.4% to 41.6%,6/5/2022 12:00:00 AM,$0.05,$0.05,$0.03,$0.05,478
39.6% to 39.8%,6/6/2022 12:00:00 AM,$0.05,$0.16,$0.03,$0.06,953
40.2% to 40.4%,6/6/2022 12:00:00 AM,$0.22,$0.25,$0.21,$0.22,373
39.5% or lower,6/6/2022 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1060
39.9% to 40.1%,6/6/2022 12:00:00 AM,$0.17,$0.17,$0.10,$0.13,464
40.5% to 40.7%,6/6/2022 12:00:00 AM,$0.23,$0.27,$0.23,$0.26,552
41.1% to 41.3%,6/6/2022 12:00:00 AM,$0.12,$0.15,$0.11,$0.12,736
41.7% or higher,6/6/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,1295
40.8% to 41.0%,6/6/2022 12:00:00 AM,$0.23,$0.23,$0.20,$0.21,186
41.4% to 41.6%,6/6/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,525
39.6% to 39.8%,6/7/2022 12:00:00 AM,$0.06,$0.06,$0.03,$0.04,1590
40.2% to 40.4%,6/7/2022 12:00:00 AM,$0.22,$0.25,$0.20,$0.24,347
39.5% or lower,6/7/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1682
39.9% to 40.1%,6/7/2022 12:00:00 AM,$0.13,$0.15,$0.08,$0.09,685
40.5% to 40.7%,6/7/2022 12:00:00 AM,$0.26,$0.31,$0.25,$0.31,207
41.1% to 41.3%,6/7/2022 12:00:00 AM,$0.12,$0.15,$0.12,$0.15,354
41.7% or higher,6/7/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,184
40.8% to 41.0%,6/7/2022 12:00:00 AM,$0.21,$0.21,$0.17,$0.21,326
41.4% to 41.6%,6/7/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,850
39.6% to 39.8%,6/8/2022 12:00:00 AM,$0.04,$0.48,$0.04,$0.39,3641
40.2% to 40.4%,6/8/2022 12:00:00 AM,$0.24,$0.32,$0.04,$0.13,3254
39.5% or lower,6/8/2022 12:00:00 AM,$0.01,$0.38,$0.01,$0.23,2908
39.9% to 40.1%,6/8/2022 12:00:00 AM,$0.09,$0.39,$0.09,$0.35,1908
40.5% to 40.7%,6/8/2022 12:00:00 AM,$0.31,$0.31,$0.01,$0.04,5531
41.1% to 41.3%,6/8/2022 12:00:00 AM,$0.15,$0.15,$0.01,$0.01,1710
41.7% or higher,6/8/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1441
40.8% to 41.0%,6/8/2022 12:00:00 AM,$0.21,$0.21,$0.01,$0.01,6054
41.4% to 41.6%,6/8/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,2314
39.6% to 39.8%,6/9/2022 12:00:00 AM,$0.39,$0.54,$0.32,$0.37,7529
40.2% to 40.4%,6/9/2022 12:00:00 AM,$0.13,$0.13,$0.01,$0.01,14852
39.5% or lower,6/9/2022 12:00:00 AM,$0.23,$0.65,$0.23,$0.62,12397
39.9% to 40.1%,6/9/2022 12:00:00 AM,$0.35,$0.35,$0.02,$0.02,14901
40.5% to 40.7%,6/9/2022 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,4344
41.1% to 41.3%,6/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,900
41.7% or higher,6/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.8% to 41.0%,6/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,837
41.4% to 41.6%,6/9/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.6% to 39.8%,6/10/2022 12:00:00 AM,$0.37,$0.42,$0.01,$0.01,6544
40.2% to 40.4%,6/10/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,190
39.5% or lower,6/10/2022 12:00:00 AM,$0.62,$0.99,$0.56,$0.99,12911
39.9% to 40.1%,6/10/2022 12:00:00 AM,$0.02,$0.05,$0.01,$0.01,2686
40.5% to 40.7%,6/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
41.1% to 41.3%,6/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
41.7% or higher,6/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.8% to 41.0%,6/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20
41.4% to 41.6%,6/10/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
