ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.9% to 41.1%,5/13/2022 12:00:00 AM,$0.23,$0.24,$0.15,$0.18,1986
41.8% to 42.0%,5/13/2022 12:00:00 AM,$0.12,$0.17,$0.11,$0.15,1961
40.5% or lower,5/13/2022 12:00:00 AM,$0.10,$0.18,$0.03,$0.04,3230
41.2% to 41.4%,5/13/2022 12:00:00 AM,$0.22,$0.27,$0.20,$0.23,1299
41.5% to 41.7%,5/13/2022 12:00:00 AM,$0.19,$0.25,$0.18,$0.23,2235
42.1% to 42.3%,5/13/2022 12:00:00 AM,$0.06,$0.09,$0.06,$0.07,2952
42.4% to 42.6%,5/13/2022 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,4165
40.6% to 40.8%,5/13/2022 12:00:00 AM,$0.18,$0.18,$0.10,$0.11,1473
42.7% or higher,5/13/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,2385
40.9% to 41.1%,5/14/2022 12:00:00 AM,$0.18,$0.30,$0.18,$0.23,826
41.8% to 42.0%,5/14/2022 12:00:00 AM,$0.15,$0.16,$0.14,$0.14,528
40.5% or lower,5/14/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,2199
41.2% to 41.4%,5/14/2022 12:00:00 AM,$0.23,$0.26,$0.23,$0.26,217
41.5% to 41.7%,5/14/2022 12:00:00 AM,$0.23,$0.29,$0.23,$0.24,473
42.1% to 42.3%,5/14/2022 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,2367
42.4% to 42.6%,5/14/2022 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1276
40.6% to 40.8%,5/14/2022 12:00:00 AM,$0.11,$0.15,$0.10,$0.11,1550
42.7% or higher,5/14/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,1381
40.9% to 41.1%,5/15/2022 12:00:00 AM,$0.23,$0.30,$0.20,$0.26,1391
41.8% to 42.0%,5/15/2022 12:00:00 AM,$0.14,$0.14,$0.09,$0.09,2847
40.5% or lower,5/15/2022 12:00:00 AM,$0.03,$0.22,$0.03,$0.22,2858
41.2% to 41.4%,5/15/2022 12:00:00 AM,$0.26,$0.35,$0.25,$0.31,2126
41.5% to 41.7%,5/15/2022 12:00:00 AM,$0.24,$0.26,$0.20,$0.20,2139
42.1% to 42.3%,5/15/2022 12:00:00 AM,$0.05,$0.06,$0.03,$0.03,3463
42.4% to 42.6%,5/15/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1919
40.6% to 40.8%,5/15/2022 12:00:00 AM,$0.11,$0.15,$0.10,$0.11,993
42.7% or higher,5/15/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2353
40.9% to 41.1%,5/16/2022 12:00:00 AM,$0.26,$0.28,$0.12,$0.12,2354
41.8% to 42.0%,5/16/2022 12:00:00 AM,$0.09,$0.18,$0.09,$0.17,1944
40.5% or lower,5/16/2022 12:00:00 AM,$0.22,$0.22,$0.01,$0.02,4771
41.2% to 41.4%,5/16/2022 12:00:00 AM,$0.31,$0.38,$0.27,$0.28,2832
41.5% to 41.7%,5/16/2022 12:00:00 AM,$0.20,$0.37,$0.18,$0.35,1310
42.1% to 42.3%,5/16/2022 12:00:00 AM,$0.03,$0.07,$0.03,$0.07,4283
42.4% to 42.6%,5/16/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2377
40.6% to 40.8%,5/16/2022 12:00:00 AM,$0.11,$0.14,$0.01,$0.03,5479
42.7% or higher,5/16/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
40.9% to 41.1%,5/17/2022 12:00:00 AM,$0.12,$0.20,$0.01,$0.06,9793
41.8% to 42.0%,5/17/2022 12:00:00 AM,$0.17,$0.50,$0.13,$0.21,4376
40.5% or lower,5/17/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,3487
41.2% to 41.4%,5/17/2022 12:00:00 AM,$0.28,$0.78,$0.15,$0.26,3354
41.5% to 41.7%,5/17/2022 12:00:00 AM,$0.35,$0.57,$0.23,$0.40,4777
42.1% to 42.3%,5/17/2022 12:00:00 AM,$0.07,$0.14,$0.03,$0.03,6215
42.4% to 42.6%,5/17/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6152
40.6% to 40.8%,5/17/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,5231
42.7% or higher,5/17/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,111
40.9% to 41.1%,5/18/2022 12:00:00 AM,$0.06,$0.11,$0.01,$0.01,9723
41.8% to 42.0%,5/18/2022 12:00:00 AM,$0.21,$0.22,$0.01,$0.01,15394
40.5% or lower,5/18/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4432
41.2% to 41.4%,5/18/2022 12:00:00 AM,$0.26,$0.99,$0.09,$0.99,23689
41.5% to 41.7%,5/18/2022 12:00:00 AM,$0.40,$0.72,$0.01,$0.01,22824
