ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.1% to 41.3%,4/16/2022 12:00:00 AM,$0.11,$0.14,$0.08,$0.08,1268
39.6% to 39.8%,4/16/2022 12:00:00 AM,$0.07,$0.11,$0.07,$0.07,953
39.5% or lower,4/16/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.07,1859
41.4% to 41.6%,4/16/2022 12:00:00 AM,$0.06,$0.10,$0.05,$0.10,2149
39.9% to 40.1%,4/16/2022 12:00:00 AM,$0.14,$0.18,$0.13,$0.18,723
40.5% to 40.7%,4/16/2022 12:00:00 AM,$0.19,$0.20,$0.19,$0.19,498
41.7% or higher,4/16/2022 12:00:00 AM,$0.05,$0.07,$0.04,$0.05,1417
40.2% to 40.4%,4/16/2022 12:00:00 AM,$0.18,$0.20,$0.17,$0.20,1088
40.8% to 41.0%,4/16/2022 12:00:00 AM,$0.15,$0.19,$0.15,$0.19,386
41.1% to 41.3%,4/17/2022 12:00:00 AM,$0.08,$0.13,$0.08,$0.13,658
39.6% to 39.8%,4/17/2022 12:00:00 AM,$0.07,$0.09,$0.06,$0.08,420
39.5% or lower,4/17/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.05,645
41.4% to 41.6%,4/17/2022 12:00:00 AM,$0.10,$0.11,$0.06,$0.11,570
39.9% to 40.1%,4/17/2022 12:00:00 AM,$0.18,$0.19,$0.14,$0.14,174
40.5% to 40.7%,4/17/2022 12:00:00 AM,$0.19,$0.20,$0.18,$0.18,479
41.7% or higher,4/17/2022 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,505
40.2% to 40.4%,4/17/2022 12:00:00 AM,$0.20,$0.20,$0.18,$0.18,605
40.8% to 41.0%,4/17/2022 12:00:00 AM,$0.19,$0.19,$0.16,$0.18,151
41.1% to 41.3%,4/18/2022 12:00:00 AM,$0.13,$0.27,$0.13,$0.21,1452
39.6% to 39.8%,4/18/2022 12:00:00 AM,$0.08,$0.09,$0.03,$0.03,1386
39.5% or lower,4/18/2022 12:00:00 AM,$0.05,$0.05,$0.02,$0.02,2503
41.4% to 41.6%,4/18/2022 12:00:00 AM,$0.11,$0.18,$0.10,$0.15,1650
39.9% to 40.1%,4/18/2022 12:00:00 AM,$0.14,$0.17,$0.08,$0.08,1163
40.5% to 40.7%,4/18/2022 12:00:00 AM,$0.18,$0.24,$0.16,$0.18,1260
41.7% or higher,4/18/2022 12:00:00 AM,$0.05,$0.10,$0.04,$0.08,1284
40.2% to 40.4%,4/18/2022 12:00:00 AM,$0.18,$0.21,$0.12,$0.12,1279
40.8% to 41.0%,4/18/2022 12:00:00 AM,$0.18,$0.23,$0.17,$0.20,1270
41.1% to 41.3%,4/19/2022 12:00:00 AM,$0.21,$0.25,$0.17,$0.25,3855
39.6% to 39.8%,4/19/2022 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,6387
39.5% or lower,4/19/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,6086
41.4% to 41.6%,4/19/2022 12:00:00 AM,$0.15,$0.50,$0.12,$0.32,3713
39.9% to 40.1%,4/19/2022 12:00:00 AM,$0.08,$0.11,$0.01,$0.01,6592
40.5% to 40.7%,4/19/2022 12:00:00 AM,$0.18,$0.19,$0.02,$0.04,4221
41.7% or higher,4/19/2022 12:00:00 AM,$0.08,$0.42,$0.07,$0.32,6461
40.2% to 40.4%,4/19/2022 12:00:00 AM,$0.12,$0.15,$0.02,$0.02,3666
40.8% to 41.0%,4/19/2022 12:00:00 AM,$0.20,$0.23,$0.07,$0.10,2346
41.1% to 41.3%,4/20/2022 12:00:00 AM,$0.25,$0.29,$0.18,$0.27,3655
39.6% to 39.8%,4/20/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2712
39.5% or lower,4/20/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,2385
41.4% to 41.6%,4/20/2022 12:00:00 AM,$0.32,$0.32,$0.11,$0.17,5576
39.9% to 40.1%,4/20/2022 12:00:00 AM,$0.01,$0.04,$0.01,$0.02,3980
40.5% to 40.7%,4/20/2022 12:00:00 AM,$0.04,$0.25,$0.04,$0.17,3558
41.7% or higher,4/20/2022 12:00:00 AM,$0.32,$0.37,$0.07,$0.15,8956
40.2% to 40.4%,4/20/2022 12:00:00 AM,$0.02,$0.15,$0.02,$0.04,4184
40.8% to 41.0%,4/20/2022 12:00:00 AM,$0.10,$0.34,$0.09,$0.30,4438
41.1% to 41.3%,4/21/2022 12:00:00 AM,$0.27,$0.50,$0.13,$0.16,11775
39.6% to 39.8%,4/21/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,10692
39.5% or lower,4/21/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5510
41.4% to 41.6%,4/21/2022 12:00:00 AM,$0.17,$0.37,$0.02,$0.03,12569
39.9% to 40.1%,4/21/2022 12:00:00 AM,$0.02,$0.05,$0.01,$0.01,12539
40.5% to 40.7%,4/21/2022 12:00:00 AM,$0.17,$0.33,$0.04,$0.17,8818
41.7% or higher,4/21/2022 12:00:00 AM,$0.15,$0.17,$0.01,$0.01,18763
40.2% to 40.4%,4/21/2022 12:00:00 AM,$0.04,$0.09,$0.01,$0.01,14806
40.8% to 41.0%,4/21/2022 12:00:00 AM,$0.30,$0.63,$0.12,$0.60,13017
41.1% to 41.3%,4/22/2022 12:00:00 AM,$0.16,$0.22,$0.01,$0.01,13578
39.6% to 39.8%,4/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
39.5% or lower,4/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.4% to 41.6%,4/22/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,5121
39.9% to 40.1%,4/22/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
40.5% to 40.7%,4/22/2022 12:00:00 AM,$0.17,$0.42,$0.01,$0.01,27526
41.7% or higher,4/22/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2970
40.2% to 40.4%,4/22/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,3118
40.8% to 41.0%,4/22/2022 12:00:00 AM,$0.60,$0.99,$0.45,$0.99,19591
