ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
41.8% to 42.0%,4/9/2022 12:00:00 AM,$0.15,$0.15,$0.06,$0.10,510
40.3% to 40.5%,4/9/2022 12:00:00 AM,$0.05,$0.07,$0.05,$0.05,345
40.2% or lower,4/9/2022 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,511
42.1% to 42.3%,4/9/2022 12:00:00 AM,$0.04,$0.11,$0.04,$0.05,643
40.6% to 40.8%,4/9/2022 12:00:00 AM,$0.11,$0.17,$0.09,$0.14,150
41.2% to 41.4%,4/9/2022 12:00:00 AM,$0.18,$0.20,$0.18,$0.20,389
42.4% or higher,4/9/2022 12:00:00 AM,$0.05,$0.08,$0.04,$0.05,1141
40.9% to 41.1%,4/9/2022 12:00:00 AM,$0.18,$0.20,$0.17,$0.20,350
41.5% to 41.7%,4/9/2022 12:00:00 AM,$0.19,$0.19,$0.16,$0.18,310
41.8% to 42.0%,4/10/2022 12:00:00 AM,$0.10,$0.16,$0.08,$0.16,172
40.3% to 40.5%,4/10/2022 12:00:00 AM,$0.05,$0.07,$0.04,$0.05,170
40.2% or lower,4/10/2022 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,341
42.1% to 42.3%,4/10/2022 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,494
40.6% to 40.8%,4/10/2022 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,25
41.2% to 41.4%,4/10/2022 12:00:00 AM,$0.20,$0.20,$0.18,$0.18,148
42.4% or higher,4/10/2022 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,116
40.9% to 41.1%,4/10/2022 12:00:00 AM,$0.20,$0.20,$0.19,$0.19,137
41.5% to 41.7%,4/10/2022 12:00:00 AM,$0.18,$0.18,$0.18,$0.18,53
41.8% to 42.0%,4/11/2022 12:00:00 AM,$0.16,$0.24,$0.11,$0.21,886
40.3% to 40.5%,4/11/2022 12:00:00 AM,$0.05,$0.05,$0.01,$0.02,3535
40.2% or lower,4/11/2022 12:00:00 AM,$0.04,$0.05,$0.01,$0.02,2905
42.1% to 42.3%,4/11/2022 12:00:00 AM,$0.07,$0.18,$0.07,$0.16,515
40.6% to 40.8%,4/11/2022 12:00:00 AM,$0.14,$0.14,$0.01,$0.04,3598
41.2% to 41.4%,4/11/2022 12:00:00 AM,$0.18,$0.21,$0.12,$0.17,722
42.4% or higher,4/11/2022 12:00:00 AM,$0.04,$0.22,$0.04,$0.18,814
40.9% to 41.1%,4/11/2022 12:00:00 AM,$0.19,$0.19,$0.02,$0.05,1998
41.5% to 41.7%,4/11/2022 12:00:00 AM,$0.18,$0.24,$0.17,$0.24,697
41.8% to 42.0%,4/12/2022 12:00:00 AM,$0.21,$0.24,$0.07,$0.10,1969
40.3% to 40.5%,4/12/2022 12:00:00 AM,$0.02,$0.10,$0.01,$0.06,3549
40.2% or lower,4/12/2022 12:00:00 AM,$0.02,$0.05,$0.01,$0.04,4572
42.1% to 42.3%,4/12/2022 12:00:00 AM,$0.16,$0.17,$0.03,$0.05,2650
40.6% to 40.8%,4/12/2022 12:00:00 AM,$0.04,$0.20,$0.02,$0.18,1362
41.2% to 41.4%,4/12/2022 12:00:00 AM,$0.17,$0.20,$0.15,$0.16,1256
42.4% or higher,4/12/2022 12:00:00 AM,$0.18,$0.18,$0.01,$0.03,7182
40.9% to 41.1%,4/12/2022 12:00:00 AM,$0.05,$0.24,$0.05,$0.24,1228
41.5% to 41.7%,4/12/2022 12:00:00 AM,$0.24,$0.24,$0.11,$0.12,690
41.8% to 42.0%,4/13/2022 12:00:00 AM,$0.10,$0.10,$0.01,$0.01,5464
40.3% to 40.5%,4/13/2022 12:00:00 AM,$0.06,$0.40,$0.03,$0.38,6774
40.2% or lower,4/13/2022 12:00:00 AM,$0.04,$0.36,$0.02,$0.22,13763
42.1% to 42.3%,4/13/2022 12:00:00 AM,$0.05,$0.06,$0.01,$0.01,2287
40.6% to 40.8%,4/13/2022 12:00:00 AM,$0.18,$0.45,$0.15,$0.34,4886
41.2% to 41.4%,4/13/2022 12:00:00 AM,$0.16,$0.29,$0.01,$0.04,11523
42.4% or higher,4/13/2022 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,716
40.9% to 41.1%,4/13/2022 12:00:00 AM,$0.24,$0.34,$0.06,$0.13,5949
41.5% to 41.7%,4/13/2022 12:00:00 AM,$0.12,$0.16,$0.01,$0.01,12607
41.8% to 42.0%,4/14/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,51
40.3% to 40.5%,4/14/2022 12:00:00 AM,$0.38,$0.68,$0.37,$0.54,13396
40.2% or lower,4/14/2022 12:00:00 AM,$0.22,$0.44,$0.08,$0.11,12084
42.1% to 42.3%,4/14/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,176
40.6% to 40.8%,4/14/2022 12:00:00 AM,$0.34,$0.38,$0.07,$0.38,7669
41.2% to 41.4%,4/14/2022 12:00:00 AM,$0.04,$0.05,$0.01,$0.01,8850
42.4% or higher,4/14/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7
40.9% to 41.1%,4/14/2022 12:00:00 AM,$0.13,$0.15,$0.01,$0.03,18407
41.5% to 41.7%,4/14/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1591
41.8% to 42.0%,4/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
40.3% to 40.5%,4/15/2022 12:00:00 AM,$0.54,$0.61,$0.01,$0.01,11282
40.2% or lower,4/15/2022 12:00:00 AM,$0.11,$0.12,$0.01,$0.01,7596
42.1% to 42.3%,4/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.6% to 40.8%,4/15/2022 12:00:00 AM,$0.38,$0.99,$0.29,$0.99,13145
41.2% to 41.4%,4/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,144
42.4% or higher,4/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.9% to 41.1%,4/15/2022 12:00:00 AM,$0.03,$0.05,$0.01,$0.01,4192
41.5% to 41.7%,4/15/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,169
